#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-3A96E3E3549C94FF-12E00A479F422B2B
#datatype	hitsConcise Results
#status	0
#Start time	2016-10-14T18:33:56	Run time	0:01:43:05
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#29 - >Tb927.3.590	superfamily	301621	17	461	1.36048e-92	286.229	cl15430	Nucleoside_tran superfamily	 - 	 - 
Q#32 - >Tb927.7.2070	specific	199909	134	268	1.8688e-36	127.541	cd10747	DnaJ_C	 - 	cl21722
Q#32 - >Tb927.7.2070	specific	199908	70	135	6.49897e-15	67.2806	cd10719	DnaJ_zf	 - 	cl21539
Q#34 - >Tb927.10.10180	superfamily	304359	10	121	6.204e-05	41.8092	cl21455	P-loop_NTPase superfamily	C	 - 
Q#36 - >Tb927.5.3480	superfamily	289481	188	252	0.000291897	38.6493	cl15047	Kinesin-relat_1 superfamily	C	 - 
Q#37 - >Tb927.5.5390	specific	289949	24	378	4.09988e-40	146.921	pfam13206	VSG_B	 - 	cl20486
Q#37 - >Tb927.5.5390	specific	287612	413	461	1.85444e-11	59.3458	pfam10659	Trypan_glycop_C	C	cl11264
Q#38 - >Tb927.11.7660	multi-dom	115071	23	144	3.70869e-06	47.1678	pfam06390	NESP55	N	 - 
Q#39 - >Tb927.7.1980	specific	140236	1	693	0	1499.92	PTZ00209	PTZ00209	 - 	cl19421
Q#42 - >Tb927.9.16980	specific	289949	21	374	9.93674e-44	153.855	pfam13206	VSG_B	 - 	cl20486
Q#43 - >Tb927.1.560	superfamily	295369	72	299	1.98332e-24	100.872	cl02567	WD40 superfamily	C	 - 
Q#43 - >Tb927.1.560	superfamily	184258	386	438	0.00289608	35.4663	cl23305	PRK13702 superfamily	C	 - 
Q#43 - >Tb927.1.560	multi-dom	225201	69	318	1.71276e-17	83.2143	COG2319	WD40	N	 - 
Q#46 - >Tb927.7.550	specific	238121	214	492	4.00621e-40	145.17	cd00200	WD40	 - 	cl02567
Q#46 - >Tb927.7.550	superfamily	295449	70	138	0.000329314	37.6383	cl02729	WWE superfamily	 - 	 - 
Q#46 - >Tb927.7.550	multi-dom	225201	212	494	6.39269e-32	126.357	COG2319	WD40	C	 - 
Q#47 - >Tb927.10.13980	superfamily	295341	23	108	8.59498e-11	55.2922	cl02518	BTB superfamily	 - 	 - 
Q#47 - >Tb927.10.13980	multi-dom	197585	25	108	1.29545e-06	43.8336	smart00225	BTB	 - 	 - 
Q#49 - >Tb927.11.9630	superfamily	304451	30	170	2.44568e-26	98.8499	cl21588	Snf7 superfamily	 - 	 - 
Q#50 - >Tb927.11.2380	specific	278587	21	487	2.1737e-92	295.413	pfam00162	PGK	 - 	cl00198
Q#50 - >Tb927.11.2380	specific	237999	521	635	7.28931e-09	53.0986	cd00038	CAP_ED	 - 	cl00047
Q#50 - >Tb927.11.2380	multi-dom	223736	515	699	1.26027e-09	57.9191	COG0664	Crp	 - 	 - 
Q#52 - >Tb927.7.4090	superfamily	304357	33	284	6.78729e-121	362.022	cl21453	PKc_like superfamily	C	 - 
Q#52 - >Tb927.7.4090	superfamily	304357	564	638	3.15653e-21	93.9229	cl21453	PKc_like superfamily	N	 - 
Q#52 - >Tb927.7.4090	multi-dom	214567	47	261	2.67381e-56	190.434	smart00220	S_TKc	 - 	 - 
Q#54 - >Tb927.9.15980	superfamily	301621	16	478	3.28002e-77	246.938	cl15430	Nucleoside_tran superfamily	 - 	 - 
Q#55 - >Tb927.6.2690	specific	239072	248	634	7.46122e-36	134.148	cd02257	Peptidase_C19	 - 	cl02553
Q#55 - >Tb927.6.2690	superfamily	299136	26	50	0.00437334	34.2635	cl09957	zf-UBP superfamily	C	 - 
Q#55 - >Tb927.6.2690	multi-dom	278850	248	634	7.48512e-48	168.701	pfam00443	UCH	 - 	 - 
Q#56 - >Tb927.8.8340	superfamily	301714	90	234	9.14771e-16	71.5272	cl15787	SEC14 superfamily	 - 	 - 
Q#57 - >Tb927.10.2340	specific	277194	14	65	3.92621e-10	49.4792	cd15841	SNARE_Qc	 - 	cl22856
Q#58 - >Tb927.8.2380	superfamily	304359	534	779	2.86509e-68	227.539	cl21455	P-loop_NTPase superfamily	 - 	 - 
Q#58 - >Tb927.8.2380	specific	279410	924	1087	3.86686e-24	100.026	pfam01061	ABC2_membrane	N	cl21474
Q#58 - >Tb927.8.2380	multi-dom	273361	551	1139	1.69131e-84	286.173	TIGR00955	3a01204	 - 	 - 
Q#59 - >Tb927.5.2410	specific	276812	8	335	4.53316e-97	313.038	cd00106	KISc	 - 	cl22853
Q#59 - >Tb927.5.2410	specific	237987	485	606	3.67394e-12	63.1023	cd00020	ARM	 - 	cl22454
Q#59 - >Tb927.5.2410	superfamily	294111	718	841	3.21564e-08	52.5438	cl00165	Calpain_III superfamily	 - 	 - 
Q#59 - >Tb927.5.2410	specific	237987	573	665	1.75485e-06	46.9239	cd00020	ARM	C	cl22454
Q#59 - >Tb927.5.2410	multi-dom	214526	10	345	1.00674e-102	328.763	smart00129	KISc	 - 	 - 
Q#61 - >Tb927.10.10480	superfamily	304987	16	112	3.92021e-43	134.952	cl23830	H2B superfamily	 - 	 - 
Q#62 - >Tb927.10.16560	specific	289949	42	374	6.11903e-63	207.012	pfam13206	VSG_B	 - 	cl20486
Q#62 - >Tb927.10.16560	superfamily	287612	418	464	0.00158304	36.619	cl11264	Trypan_glycop_C superfamily	C	 - 
Q#63 - >Tb927.9.7740	specific	111998	15	160	2.66764e-57	180.643	pfam03162	Y_phosphatase2	 - 	cl21483
Q#64 - >Tb927.10.2040	specific	270797	13	288	3.58352e-131	391.588	cd06627	STKc_Cdc7_like	 - 	cl21453
Q#64 - >Tb927.10.2040	multi-dom	214567	14	288	2.06488e-84	269.4	smart00220	S_TKc	 - 	 - 
Q#68 - >Tb927.5.3420	specific	270871	130	386	4.50982e-102	305.95	cd13969	ADCK1-like	 - 	cl21453
Q#68 - >Tb927.5.3420	multi-dom	223733	85	425	3.88753e-69	229.505	COG0661	AarF	C	 - 
Q#69 - >Tb927.10.4890	specific	290624	94	118	6.86591e-07	43.719	pfam13913	zf-C2HC_2	 - 	cl16472
Q#71 - >Tb927.10.9330	superfamily	294498	372	428	1.11881e-05	42.7623	cl00770	PSP1 superfamily	C	 - 
Q#73 - >Tb927.7.2860	superfamily	305064	5	121	4.22034e-49	151.719	cl23907	H2A superfamily	 - 	 - 
Q#73 - >Tb927.7.2860	multi-dom	240330	1	134	1.82031e-72	211.359	PTZ00252	PTZ00252	 - 	 - 
Q#74 - >Tb927.2.3620	specific	206728	338	598	8.4297e-127	377.016	cd04165	GTPBP1_like	 - 	cl21455
Q#74 - >Tb927.2.3620	specific	294007	701	787	3.72352e-46	158.065	cd03708	GTPBP_III	 - 	cl02786
Q#74 - >Tb927.2.3620	specific	293895	610	695	7.96532e-26	100.372	cd03694	GTPBP_II	 - 	cl02787
Q#74 - >Tb927.2.3620	multi-dom	227583	259	788	7.42311e-114	354.852	COG5258	GTPBP1	 - 	 - 
Q#75 - >Tb927.3.5650	superfamily	304357	625	901	3.2064e-80	259.375	cl21453	PKc_like superfamily	 - 	 - 
Q#75 - >Tb927.3.5650	multi-dom	214567	625	901	7.11743e-73	239.354	smart00220	S_TKc	 - 	 - 
Q#77 - >Tb927.7.1240	specific	279163	212	289	1.47144e-12	63.7519	pfam00781	DAGK_cat	C	cl01255
Q#77 - >Tb927.7.1240	multi-dom	215517	211	744	3.38133e-14	74.5122	PLN02958	PLN02958	N	 - 
Q#78 - >Tb927.3.1470	specific	289949	46	257	4.51053e-22	94.5339	pfam13206	VSG_B	N	cl20486
Q#81 - >Tb927.9.230	superfamily	279282	5	386	8.24976e-19	86.3105	cl03014	Trypan_glycop superfamily	 - 	 - 
Q#81 - >Tb927.9.230	specific	287612	423	486	1.09789e-10	57.0346	pfam10659	Trypan_glycop_C	C	cl11264
Q#82 - >Tb927.7.4080	specific	278689	797	911	5.4404e-29	110.783	pfam00271	Helicase_C	 - 	cl21455
Q#82 - >Tb927.7.4080	specific	238005	428	568	3.14344e-19	83.926	cd00046	DEXDc	 - 	cl21455
Q#82 - >Tb927.7.4080	multi-dom	278600	411	743	8.49561e-77	253.404	pfam00176	SNF2_N	 - 	 - 
Q#82 - >Tb927.7.4080	multi-dom	292293	41	157	0.00923691	37.3487	pfam15665	FAM184	N	 - 
Q#85 - >Tb927.1.1130	superfamily	304358	68	104	5.82617e-06	47.7058	cl21454	NADB_Rossmann superfamily	C	 - 
Q#85 - >Tb927.1.1130	superfamily	293506	547	598	9.12355e-05	40.9422	cl25187	DAO_C superfamily	N	 - 
Q#85 - >Tb927.1.1130	multi-dom	215257	7	610	2.03053e-31	127.975	PLN02464	PLN02464	 - 	 - 
Q#88 - >Tb927.11.19890	specific	289949	23	331	6.09455e-41	148.462	pfam13206	VSG_B	 - 	cl20486
Q#92 - >Tb927.9.17470	specific	289949	6	275	3.21846e-20	89.5264	pfam13206	VSG_B	 - 	cl20486
Q#92 - >Tb927.9.17470	superfamily	287612	325	382	1.39157e-06	45.0934	cl11264	Trypan_glycop_C superfamily	C	 - 
Q#94 - >Tb927.1.1530	superfamily	304357	1384	1643	3.95526e-82	269.39	cl21453	PKc_like superfamily	 - 	 - 
Q#94 - >Tb927.1.1530	specific	237999	553	675	9.62031e-15	70.8178	cd00038	CAP_ED	 - 	cl00047
Q#94 - >Tb927.1.1530	superfamily	294041	438	543	0.00494784	37.3054	cl00047	CAP_ED superfamily	 - 	 - 
Q#94 - >Tb927.1.1530	multi-dom	214567	1385	1648	1.29672e-74	247.443	smart00220	S_TKc	 - 	 - 
Q#95 - >Tb927.9.11260	specific	239875	195	328	6.87691e-74	222.895	cd04412	NDPk7B	 - 	cl00335
Q#95 - >Tb927.9.11260	multi-dom	197791	195	329	1.36149e-38	132.289	smart00562	NDK	 - 	 - 
Q#95 - >Tb927.9.11260	multi-dom	128921	15	85	3.55713e-13	63.485	smart00676	DM10	 - 	 - 
Q#96 - >Tb927.10.7370	specific	99707	258	363	0.000906642	39.0515	cd00009	AAA	C	cl21455
Q#97 - >Tb927.2.1180	superfamily	302859	27	575	0	619.537	cl19421	RHSP superfamily	C	 - 
Q#98 - >Tb927.1.4220	specific	286544	175	341	8.64837e-24	96.5281	pfam09468	RNase_H2-Ydr279	C	cl18968
Q#99 - >Tb927.7.580	specific	206750	219	534	7.89039e-37	133.126	cd01857	HSR1_MMR1	 - 	cl21455
Q#99 - >Tb927.7.580	multi-dom	224083	214	657	7.13501e-21	92.8309	COG1161	RbgA	 - 	 - 
Q#101 - >Tb927.1.05	specific	289949	15	366	9.21786e-66	215.872	pfam13206	VSG_B	 - 	cl20486
Q#101 - >Tb927.1.05	specific	287612	403	525	9.80146e-26	99.7917	pfam10659	Trypan_glycop_C	 - 	cl11264
Q#104 - >Tb927.5.3020	superfamily	288545	174	269	2.46961e-05	44.1325	cl13203	Slu7 superfamily	C	 - 
Q#105 - >Tb927.8.7810	multi-dom	274008	58	279	0.000131403	41.9659	TIGR02168	SMC_prok_B	NC	 - 
Q#107 - >Tb927.6.1800	specific	238083	22	272	2.59709e-66	209.49	cd00143	PP2Cc	 - 	cl00120
Q#107 - >Tb927.6.1800	multi-dom	240318	1	382	0	679.571	PTZ00224	PTZ00224	 - 	 - 
Q#110 - >Tb927.4.150	specific	140231	1	120	3.35174e-84	241.048	PTZ00204	PTZ00204	 - 	cl23106
Q#111 - >Tb927.7.240	specific	240261	29	103	2.34939e-32	106.761	PTZ00085	PTZ00085	 - 	cl09927
Q#112 - >Tb927.3.1220	specific	198402	5	81	6.26105e-43	145.838	cd10455	GIY-YIG_SLX1	 - 	cl15257
Q#114 - >Tb927.6.1820	specific	239477	8	169	2.95505e-46	148.576	cd03382	PAP2_dolichyldiphosphatase	 - 	cl00474
Q#115 - >Tb927.10.9990	specific	238285	19	196	4.92029e-68	204.677	cd00515	HAM1	 - 	cl00276
Q#119 - >Tb927.10.5810	specific	288392	7	118	1.92251e-32	117.253	pfam11527	ARL2_Bind_BART	 - 	cl13043
Q#121 - >Tb927.1.5060	superfamily	289949	40	257	6.81832e-19	84.904	cl20486	VSG_B superfamily	N	 - 
Q#122 - >Tb927.5.3160	superfamily	304357	854	1202	2.8614e-48	171.877	cl21453	PKc_like superfamily	 - 	 - 
Q#122 - >Tb927.5.3160	multi-dom	214567	855	1200	9.91689e-53	184.656	smart00220	S_TKc	 - 	 - 
Q#126 - >Tb927.11.400	specific	284430	84	519	8.01987e-67	217.842	pfam07000	DUF1308	 - 	cl15654
Q#128 - >Tb927.9.7000	superfamily	302624	63	154	3.21397e-05	40.7455	cl17173	AdoMet_MTases superfamily	C	 - 
Q#131 - >Tb927.3.5630	specific	119339	56	254	1.33799e-37	131.144	cd06558	crotonase-like	 - 	cl23717
Q#134 - >Tb927.9.7380	specific	289949	78	272	6.91664e-26	105.32	pfam13206	VSG_B	N	cl20486
Q#135 - >Tb927.6.1740	superfamily	304887	59	183	4.73294e-19	81.9764	cl23730	F5_F8_type_C superfamily	 - 	 - 
Q#135 - >Tb927.6.1740	multi-dom	275056	346	486	7.5048e-05	42.3025	TIGR04211	SH3_and_anchor	N	 - 
Q#138 - >Tb927.11.12860.1	specific	291384	82	301	1.61896e-119	341.022	pfam14713	DUF4464	 - 	cl20648
Q#139 - >Tb927.11.14940	superfamily	304396	135	219	0.000631213	39.0446	cl21505	SpoU_methylase superfamily	N	 - 
Q#140 - >Tb927.10.16220	specific	287612	414	511	1.89467e-23	93.6285	pfam10659	Trypan_glycop_C	 - 	cl11264
Q#140 - >Tb927.10.16220	superfamily	279282	8	374	4.89911e-15	75.1397	cl03014	Trypan_glycop superfamily	 - 	 - 
Q#141 - >Tb927.10.10900	specific	278607	181	676	0	793.256	pfam00183	HSP90	 - 	cl20204
Q#141 - >Tb927.10.10900	specific	280651	30	178	3.77582e-14	67.7024	pfam02518	HATPase_c	 - 	cl00075
Q#141 - >Tb927.10.10900	multi-dom	240341	1	704	0	1302.34	PTZ00272	PTZ00272	 - 	 - 
Q#143 - >Tb927.9.3630	specific	128990	275	319	7.65738e-08	47.5679	smart00751	BSD	 - 	cl02772
Q#145 - >Tb927.7.4440	superfamily	304358	5	250	3.12945e-15	71.4979	cl21454	NADB_Rossmann superfamily	 - 	 - 
Q#145 - >Tb927.7.4440	multi-dom	279681	7	252	1.86098e-05	43.4381	pfam01370	Epimerase	 - 	 - 
Q#146 - >Tb927.2.3290	specific	240314	1	436	0	758.349	PTZ00208	PTZ00208	 - 	cl19916
Q#147 - >Tb927.5.3860	specific	281171	181	495	1.24074e-93	285.767	pfam03133	TTL	 - 	cl17255
Q#148 - >Tb927.11.15770	superfamily	295369	31	174	2.49947e-08	53.1076	cl02567	WD40 superfamily	N	 - 
Q#148 - >Tb927.11.15770	multi-dom	225201	26	307	9.13964e-11	61.6431	COG2319	WD40	N	 - 
Q#151 - >Tb927.11.18870	specific	289949	50	399	9.05099e-64	211.635	pfam13206	VSG_B	 - 	cl20486
Q#151 - >Tb927.11.18870	specific	287612	438	544	6.37431e-27	103.644	pfam10659	Trypan_glycop_C	 - 	cl11264
Q#152 - >Tb927.6.3710	multi-dom	223021	480	705	0.00237013	39.9217	PHA03247	PHA03247	N	 - 
Q#155 - >Tb927.7.2360	specific	278980	181	254	2.92641e-12	59.9993	pfam00583	Acetyltransf_1	 - 	cl17182
Q#155 - >Tb927.7.2360	multi-dom	223532	141	277	1.29785e-20	85.8186	COG0456	RimI	N	 - 
Q#156 - >Tb927.5.2440	specific	278809	66	95	4.90135e-09	51.3535	pfam00397	WW	 - 	cl00157
Q#156 - >Tb927.5.2440	superfamily	304375	299	391	0.00922812	37.1522	cl21478	ATP-synt_B superfamily	N	 - 
Q#158 - >Tb927.9.12900	superfamily	281933	179	257	4.61621e-12	62.9692	cl04368	Leo1 superfamily	C	 - 
Q#159 - >Tb927.10.2620	specific	107222	10	123	9.35075e-39	127.326	cd06465	p23_hB-ind1_like	 - 	cl00175
Q#160 - >Tb927.10.11700	superfamily	302627	6	164	6.08742e-58	178.07	cl17190	NK superfamily	 - 	 - 
Q#161 - >Tb927.10.2770	specific	280114	12	135	1.0307e-40	138.399	pfam01873	eIF-5_eIF-2B	 - 	cl17014
Q#161 - >Tb927.10.2770	superfamily	302589	254	375	3.84781e-05	42.2182	cl17013	W2 superfamily	 - 	 - 
Q#163 - >Tb927.7.2510	specific	281266	16	179	1.71444e-72	214.683	pfam03248	Rer1	 - 	cl02175
Q#167 - >Tb927.2.4850	specific	239287	125	241	7.12428e-49	155.424	cd02989	Phd_like_TxnDC9	 - 	cl00388
Q#167 - >Tb927.2.4850	superfamily	294600	97	132	0.00230657	35.4184	cl00928	dsDNA_bind superfamily	C	 - 
Q#169 - >Tb927.7.1780	superfamily	294217	32	205	4.67677e-49	157.913	cl00309	PRTases_typeI superfamily	 - 	 - 
Q#170 - >Tb927.11.12090	specific	214684	57	207	4.18365e-42	139.706	smart00478	ENDO3c	 - 	cl23768
Q#170 - >Tb927.11.12090	specific	197771	208	228	6.95114e-05	37.5301	smart00525	FES	 - 	cl23355
Q#170 - >Tb927.11.12090	multi-dom	223255	48	233	9.65422e-71	215.124	COG0177	Nth	 - 	 - 
Q#172 - >Tb927.4.1860	specific	140127	1	163	9.5561e-92	262.79	PTZ00095	PTZ00095	 - 	cl00969
Q#174 - >Tb927.11.14440	specific	273253	719	751	0.00224321	35.1235	TIGR00756	PPR	 - 	cl03252
Q#174 - >Tb927.11.14440	specific	273253	243	277	0.00342649	34.3531	TIGR00756	PPR	 - 	cl03252
Q#174 - >Tb927.11.14440	multi-dom	289786	170	217	1.00316e-06	44.702	pfam13041	PPR_2	 - 	 - 
Q#174 - >Tb927.11.14440	multi-dom	289786	134	182	9.30267e-05	39.3092	pfam13041	PPR_2	 - 	 - 
Q#174 - >Tb927.11.14440	multi-dom	289786	95	146	0.000102645	39.3092	pfam13041	PPR_2	 - 	 - 
Q#174 - >Tb927.11.14440	multi-dom	289786	240	284	2.6998e-10	55.1023	pfam13041	PPR_2	 - 	 - 
Q#174 - >Tb927.11.14440	multi-dom	289786	205	248	6.26332e-07	45.4724	pfam13041	PPR_2	 - 	 - 
Q#174 - >Tb927.11.14440	multi-dom	289786	567	609	1.81825e-05	41.2352	pfam13041	PPR_2	 - 	 - 
Q#174 - >Tb927.11.14440	multi-dom	289786	275	348	0.000728273	36.6128	pfam13041	PPR_2	 - 	 - 
Q#178 - >Tb927.11.11870	specific	281708	277	319	9.64281e-05	41.3597	pfam03747	ADP_ribosyl_GH	N	cl00614
Q#184 - >Tb927.9.11750	specific	290224	67	263	1.55768e-14	68.9679	pfam13489	Methyltransf_23	 - 	cl17173
Q#185 - >Tb927.11.14290	specific	163637	3	193	4.77322e-96	276.782	cd07394	MPP_Vps29	 - 	cl13995
Q#185 - >Tb927.11.14290	multi-dom	278574	4	149	0.00010708	40.4466	pfam00149	Metallophos	 - 	 - 
Q#188 - >Tb927.8.6020	specific	99707	102	232	0.000143367	40.2071	cd00009	AAA	 - 	cl21455
Q#189 - >Tb927.7.5680	specific	234784	60	271	3.28152e-97	283.218	PRK00507	PRK00507	 - 	cl21457
Q#190 - >Tb927.5.3270	multi-dom	282029	439	817	9.8032e-05	43.7024	pfam04111	APG6	 - 	 - 
Q#191 - >Tb927.10.14560	multi-dom	290150	142	203	8.5498e-08	48.0918	pfam13414	TPR_11	 - 	 - 
Q#193 - >Tb927.10.270	specific	240297	1	132	5.58919e-76	220.258	PTZ00159	PTZ00159	 - 	cl00748
Q#197 - >Tb927.10.15380	superfamily	295201	20	227	8.26333e-29	110.33	cl02164	Utp11 superfamily	 - 	 - 
Q#198 - >Tb927.10.120	superfamily	302859	92	143	5.07912e-18	78.3319	cl19421	RHSP superfamily	C	 - 
Q#199 - >Tb927.10.13920	multi-dom	178645	47	89	0.000984192	36.1256	PLN03097	FHY3	NC	 - 
Q#200 - >Tb927.9.15070	superfamily	304615	550	707	2.6089e-14	71.1861	cl22881	DNA_processg_A superfamily	N	 - 
Q#201 - >Tb927.10.10570	superfamily	304987	16	112	3.92021e-43	134.952	cl23830	H2B superfamily	 - 	 - 
Q#202 - >Tb927.3.2840	superfamily	294149	12	260	5.00234e-71	217.7	cl00217	pyrophosphatase superfamily	 - 	 - 
Q#203 - >Tb927.8.6780	superfamily	301327	80	280	3.31057e-06	45.7921	cl14643	SRPBCC superfamily	 - 	 - 
Q#206 - >Tb927.1.380	specific	140231	1	120	9.84245e-83	237.196	PTZ00204	PTZ00204	 - 	cl23106
Q#209 - >Tb927.5.780	superfamily	294102	330	400	0.00156013	36.1247	cl00155	UBQ superfamily	 - 	 - 
Q#210 - >Tb927.4.5450	superfamily	287612	402	464	0.000128675	39.7006	cl11264	Trypan_glycop_C superfamily	N	 - 
Q#211 - >Tb927.11.9920	specific	176398	77	152	1.81629e-43	149.25	cd01803	Ubiquitin	 - 	cl00155
Q#211 - >Tb927.11.9920	specific	176398	1	76	1.81629e-43	149.25	cd01803	Ubiquitin	 - 	cl00155
Q#211 - >Tb927.11.9920	specific	176398	609	684	1.81629e-43	149.25	cd01803	Ubiquitin	 - 	cl00155
Q#211 - >Tb927.11.9920	specific	176398	533	608	1.81629e-43	149.25	cd01803	Ubiquitin	 - 	cl00155
Q#211 - >Tb927.11.9920	specific	176398	457	532	1.81629e-43	149.25	cd01803	Ubiquitin	 - 	cl00155
Q#211 - >Tb927.11.9920	specific	176398	305	380	1.81629e-43	149.25	cd01803	Ubiquitin	 - 	cl00155
Q#211 - >Tb927.11.9920	specific	176398	381	456	1.81629e-43	149.25	cd01803	Ubiquitin	 - 	cl00155
Q#211 - >Tb927.11.9920	specific	176398	153	228	1.81629e-43	149.25	cd01803	Ubiquitin	 - 	cl00155
Q#211 - >Tb927.11.9920	specific	176398	229	304	1.81629e-43	149.25	cd01803	Ubiquitin	 - 	cl00155
Q#211 - >Tb927.11.9920	multi-dom	214563	1	72	2.08121e-28	106.96	smart00213	UBQ	 - 	 - 
Q#211 - >Tb927.11.9920	multi-dom	214563	77	148	2.08121e-28	106.96	smart00213	UBQ	 - 	 - 
Q#211 - >Tb927.11.9920	multi-dom	214563	153	224	2.08121e-28	106.96	smart00213	UBQ	 - 	 - 
Q#211 - >Tb927.11.9920	multi-dom	214563	229	300	2.08121e-28	106.96	smart00213	UBQ	 - 	 - 
Q#211 - >Tb927.11.9920	multi-dom	214563	305	376	2.08121e-28	106.96	smart00213	UBQ	 - 	 - 
Q#211 - >Tb927.11.9920	multi-dom	214563	381	452	2.08121e-28	106.96	smart00213	UBQ	 - 	 - 
Q#211 - >Tb927.11.9920	multi-dom	214563	457	528	2.08121e-28	106.96	smart00213	UBQ	 - 	 - 
Q#211 - >Tb927.11.9920	multi-dom	214563	533	604	2.08121e-28	106.96	smart00213	UBQ	 - 	 - 
Q#211 - >Tb927.11.9920	multi-dom	214563	609	680	2.08121e-28	106.96	smart00213	UBQ	 - 	 - 
Q#212 - >Tb927.3.3320	specific	173472	1	218	1.1496e-102	294.525	PTZ00192	PTZ00192	 - 	cl01799
Q#213 - >Tb927.7.2240	superfamily	283550	153	281	0.00184413	39.6487	cl09392	API5 superfamily	C	 - 
Q#214 - >Tb927.7.5740	specific	291009	334	374	1.60745e-07	46.5071	pfam14311	DUF4379	N	cl16790
Q#215 - >Tb927.1.1150	specific	276958	2	479	3.78182e-108	326.53	cd02189	delta_zeta_tubulin-like	 - 	cl10017
Q#215 - >Tb927.1.1150	multi-dom	278518	3	247	4.10784e-29	111.928	pfam00091	Tubulin	 - 	 - 
Q#216 - >Tb927.8.220	superfamily	289949	21	95	6.4171e-12	65.644	cl20486	VSG_B superfamily	C	 - 
Q#217 - >Tb927.8.1250	specific	285450	363	397	6.15169e-06	42.1523	pfam08238	Sel1	 - 	cl02723
Q#217 - >Tb927.8.1250	specific	214772	157	189	0.000466273	36.768	smart00671	SEL1	 - 	cl02723
Q#217 - >Tb927.8.1250	specific	214772	125	152	0.00344258	34.4568	smart00671	SEL1	 - 	cl02723
Q#217 - >Tb927.8.1250	multi-dom	223861	71	385	1.09519e-21	94.7259	COG0790	TPR	 - 	 - 
Q#217 - >Tb927.8.1250	multi-dom	223861	278	635	3.95498e-07	51.1983	COG0790	TPR	 - 	 - 
Q#219 - >Tb927.6.1530	specific	153212	98	232	2.62186e-42	143.155	cd01741	GATase1_1	N	cl00020
Q#221 - >Tb927.8.5020	superfamily	282496	338	408	0.00366123	36.9925	cl04648	DUF603 superfamily	N	 - 
Q#223 - >Tb927.10.8270	superfamily	283193	36	507	2.0315e-15	78.2639	cl20295	eIF-3c_N superfamily	 - 	 - 
Q#226 - >Tb927.10.5760	specific	238713	5	196	4.3788e-69	208.245	cd01428	ADK	 - 	cl17190
Q#226 - >Tb927.10.5760	multi-dom	273569	5	205	9.44645e-70	210.553	TIGR01351	adk	 - 	 - 
