#Batch CD-search tool	NIH/NLM/NCBI
#cdsid	QM3-qcdsearch-401E4A08A436F4A-117B787A9AD3483
#datatype	hitsConcise Results
#status	0
#Start time	2016-10-14T18:33:38	Run time	0:01:44:12
#status	success

Query	Hit type	PSSM-ID	From	To	E-Value	Bitscore	Accession	Short name	Incomplete	Superfamily
Q#38 - >Tb927.2.420	specific	282431	69	132	4.67898e-13	62.7503	pfam04566	RNA_pol_Rpb2_4	 - 	cl04594
Q#38 - >Tb927.2.420	superfamily	305168	507	549	3.17582e-10	60.9902	cl24011	RNA_pol_B_RPB2 superfamily	N	 - 
Q#41 - >Tb927.10.7610	superfamily	301617	603	964	0.00196898	40.6864	cl15414	V-ATPase_C superfamily	 - 	 - 
Q#42 - >Tb927.7.4630	specific	206648	9	183	4.39643e-07	46.2956	cd00882	Ras_like_GTPase	 - 	cl21455
Q#45 - >Tb927.11.12430	superfamily	291343	129	292	3.5047e-30	114.486	cl20624	DSPn superfamily	 - 	 - 
Q#45 - >Tb927.11.12430	superfamily	304379	336	508	2.23984e-16	76.2144	cl21483	PTPc superfamily	 - 	 - 
Q#47 - >Tb927.3.2230	specific	280747	12	105	2.02263e-25	95.7182	pfam02629	CoA_binding	 - 	cl21454
Q#47 - >Tb927.3.2230	superfamily	304578	158	280	7.7288e-25	95.4106	cl22543	Ligase_CoA superfamily	 - 	 - 
Q#47 - >Tb927.3.2230	multi-dom	240307	1	300	0	543.539	PTZ00187	PTZ00187	 - 	 - 
Q#50 - >Tb927.11.18730	superfamily	289949	23	204	3.74898e-10	57.1696	cl20486	VSG_B superfamily	N	 - 
Q#51 - >Tb927.10.30	superfamily	289949	313	347	0.0051958	37.5244	cl20486	VSG_B superfamily	N	 - 
Q#52 - >Tb927.4.2150	multi-dom	223949	32	135	0.00954853	34.181	COG1018	Fpr	C	 - 
Q#53 - >Tb927.10.8100	specific	279228	119	224	1.5719e-12	62.1213	pfam00856	SET	 - 	cl02566
Q#54 - >Tb927.3.3220	multi-dom	291240	274	340	9.13349e-09	51.4494	pfam14559	TPR_19	 - 	 - 
Q#54 - >Tb927.3.3220	multi-dom	290150	80	144	0.00829872	34.6098	pfam13414	TPR_11	 - 	 - 
Q#55 - >Tb927.10.14740	multi-dom	274808	223	294	0.00138133	39.4122	TIGR03835	termin_org_DnaJ	C	 - 
Q#56 - >Tb927.11.7590	superfamily	290491	675	756	0.00351191	37.2381	cl16387	DUF4171 superfamily	C	 - 
Q#56 - >Tb927.11.7590	multi-dom	287245	669	945	7.00794e-05	45.2348	pfam10243	MIP-T3	C	 - 
Q#58 - >Tb927.5.3680	specific	287190	246	309	1.7499e-13	63.2196	pfam10181	PIG-H	 - 	cl10875
Q#62 - >Tb927.5.160	superfamily	302859	6	171	1.56608e-52	176.943	cl19421	RHSP superfamily	NC	 - 
Q#64 - >Tb927.10.6940	superfamily	304388	627	843	5.50241e-35	131.199	cl21494	Abhydrolase superfamily	 - 	 - 
Q#64 - >Tb927.10.6940	multi-dom	224423	414	843	6.06823e-41	158.462	COG1506	DAP2	N	 - 
Q#64 - >Tb927.10.6940	multi-dom	279298	179	513	2.18589e-16	80.0492	pfam00930	DPPIV_N	 - 	 - 
Q#67 - >Tb927.3.1940	specific	282404	121	236	1.21757e-16	74.1966	pfam04536	TPM	 - 	cl01535
Q#68 - >Tb927.6.2720	superfamily	293378	71	114	0.00092432	37.2569	cl25101	Phage_SSB superfamily	NC	 - 
Q#69 - >Tb927.11.8090	specific	277359	4	294	0	591.236	cd07414	MPP_PP1_PPKL	 - 	cl13995
Q#69 - >Tb927.11.8090	multi-dom	185658	3	295	1.03145e-170	474.533	PTZ00480	PTZ00480	 - 	 - 
Q#70 - >Tb927.2.4520	superfamily	253069	1213	1249	1.53874e-06	44.5163	cl04973	Dpy-30 superfamily	 - 	 - 
Q#70 - >Tb927.2.4520	superfamily	302627	878	915	0.000713687	40.683	cl17190	NK superfamily	NC	 - 
Q#70 - >Tb927.2.4520	multi-dom	223528	244	419	0.000263618	43.007	COG0451	WcaG	N	 - 
Q#71 - >Tb927.8.6620	specific	197551	332	368	5.42928e-07	44.3996	smart00165	UBA	 - 	cl21463
Q#73 - >Tb927.3.190	superfamily	287612	430	475	0.00915132	34.693	cl11264	Trypan_glycop_C superfamily	C	 - 
Q#75 - >Tb927.11.9950	multi-dom	291991	66	145	0.00012268	41.4976	pfam15346	ARGLU	C	 - 
Q#76 - >Tb927.10.12680	specific	185429	2	127	3.48394e-44	141.364	PTZ00074	PTZ00074	 - 	cl00955
Q#77 - >Tb927.10.5750	specific	153375	5	267	3.97007e-90	266.315	cd07363	45_DOPA_Dioxygenase	 - 	cl00599
Q#78 - >Tb927.7.3150	superfamily	301714	101	276	1.64438e-09	55.3488	cl15787	SEC14 superfamily	 - 	 - 
Q#78 - >Tb927.7.3150	specific	215024	32	78	3.65629e-06	42.9219	smart01100	CRAL_TRIO_N	 - 	cl16919
Q#79 - >Tb927.5.3650	superfamily	304600	60	108	0.00010361	40.1675	cl22851	PHD_SF superfamily	C	 - 
Q#80 - >Tb927.11.13050	specific	238008	85	147	1.51482e-23	85.6773	cd00051	EFh	 - 	cl08302
Q#80 - >Tb927.11.13050	specific	238008	12	74	4.16897e-21	79.5141	cd00051	EFh	 - 	cl08302
Q#80 - >Tb927.11.13050	multi-dom	185504	1	149	7.65934e-93	264.316	PTZ00184	PTZ00184	 - 	 - 
Q#83 - >Tb927.8.7460	specific	279834	72	157	2.76869e-18	81.1421	pfam01545	Cation_efflux	C	cl24014
Q#83 - >Tb927.8.7460	superfamily	293521	387	451	0.0014141	35.8824	cl25197	ZT_dimer superfamily	 - 	 - 
Q#83 - >Tb927.8.7460	multi-dom	224151	59	455	4.56932e-43	152.852	COG1230	CzcD	 - 	 - 
Q#84 - >Tb927.10.6560	specific	280141	199	381	3.38195e-40	141.905	pfam01904	DUF72	N	cl00777
Q#85 - >Tb927.10.12320	multi-dom	287177	244	313	0.00644148	37.3263	pfam10168	Nup88	N	 - 
Q#89 - >Tb927.9.9780	superfamily	294131	9	172	2.68083e-86	256.415	cl00197	cyclophilin superfamily	 - 	 - 
Q#89 - >Tb927.9.9780	specific	278916	291	324	7.15793e-05	38.1676	pfam00515	TPR_1	 - 	cl22897
Q#89 - >Tb927.9.9780	multi-dom	290150	259	322	6.85975e-10	53.4846	pfam13414	TPR_11	 - 	 - 
Q#90 - >Tb11.09.0001	superfamily	279282	12	120	0.000273179	41.6273	cl03014	Trypan_glycop superfamily	C	 - 
Q#91 - >Tb927.11.20530	multi-dom	292080	378	476	0.00595205	37.783	pfam15440	THRAP3_BCLAF1	NC	 - 
Q#93 - >Tb927.9.15730	specific	289949	25	357	1.079e-78	247.843	pfam13206	VSG_B	 - 	cl20486
Q#93 - >Tb927.9.15730	multi-dom	140295	5	474	0	910.442	PTZ00269	PTZ00269	 - 	 - 
Q#94 - >Tb927.10.12500	specific	278548	112	333	7.04684e-66	218.584	pfam00122	E1-E2_ATPase	 - 	cl02811
Q#94 - >Tb927.10.12500	specific	279080	51	101	1.38842e-16	73.7235	pfam00690	Cation_ATPase_N	N	cl02930
Q#94 - >Tb927.10.12500	specific	226572	570	614	3.81763e-07	49.0944	COG4087	COG4087	NC	cl21460
Q#94 - >Tb927.10.12500	multi-dom	273731	54	831	0	1071.95	TIGR01647	ATPase-IIIA_H	 - 	 - 
Q#96 - >Tb927.10.10930	specific	278607	181	676	0	792.871	pfam00183	HSP90	 - 	cl20204
Q#96 - >Tb927.10.10930	specific	280651	30	178	3.77582e-14	67.7024	pfam02518	HATPase_c	 - 	cl00075
Q#96 - >Tb927.10.10930	multi-dom	240341	1	704	0	1298.49	PTZ00272	PTZ00272	 - 	 - 
Q#97 - >Tb927.9.10230	specific	107222	4	115	5.73133e-26	93.8132	cd06465	p23_hB-ind1_like	 - 	cl00175
Q#98 - >Tb927.11.2860	superfamily	295369	475	766	6.0831e-11	62.7376	cl02567	WD40 superfamily	 - 	 - 
Q#98 - >Tb927.11.2860	multi-dom	225201	484	696	2.62783e-08	55.4799	COG2319	WD40	N	 - 
Q#105 - >Tb927.11.440	specific	211320	198	283	1.90839e-30	108.414	cd11607	DENR_C	 - 	cl00229
Q#107 - >Tb927.11.7170	specific	238393	154	456	9.57938e-164	463.185	cd00770	SerRS_core	 - 	cl00268
Q#107 - >Tb927.11.7170	specific	280549	3	139	2.90504e-17	76.0878	pfam02403	Seryl_tRNA_N	 - 	cl12057
Q#107 - >Tb927.11.7170	multi-dom	215364	3	477	0	615.561	PLN02678	PLN02678	 - 	 - 
Q#108 - >Tb927.7.110	superfamily	289949	20	109	8.56385e-17	80.2816	cl20486	VSG_B superfamily	C	 - 
Q#110 - >Tb927.8.1690	superfamily	304357	4	322	3.46385e-96	295.141	cl21453	PKc_like superfamily	 - 	 - 
Q#110 - >Tb927.8.1690	multi-dom	214567	4	318	4.23497e-68	221.635	smart00220	S_TKc	 - 	 - 
Q#111 - >Tb927.6.3620	superfamily	289522	160	191	0.00468266	34.91	cl20464	zf-C2H2_2 superfamily	NC	 - 
Q#112 - >Tb927.6.3570	superfamily	302634	162	515	1.038e-55	189.467	cl17255	ATP-grasp_4 superfamily	 - 	 - 
Q#113 - >Tb927.6.3740	superfamily	302596	27	402	0	701.441	cl17037	NBD_sugar-kinase_HSP70_actin superfamily	 - 	 - 
Q#113 - >Tb927.6.3740	multi-dom	140213	1	657	0	1352.81	PTZ00186	PTZ00186	 - 	 - 
Q#114 - >Tb927.10.13850	specific	284873	129	247	7.14728e-32	115.276	pfam07542	ATP12	 - 	cl02228
Q#116 - >Tb927.10.14490	multi-dom	235501	92	153	0.00158198	39.3138	PRK05559	PRK05559	NC	 - 
Q#117 - >Tb927.11.20270	specific	289949	19	366	1.24492e-39	144.995	pfam13206	VSG_B	 - 	cl20486
Q#118 - >Tb927.6.2780	specific	214879	86	253	1.76635e-52	168.297	smart00879	Brix	 - 	cl00935
Q#119 - >Tb927.3.4620	superfamily	304668	1179	1370	1.98541e-36	135.36	cl22977	UvrD_C_2 superfamily	 - 	 - 
Q#119 - >Tb927.3.4620	superfamily	304359	729	768	0.00109137	40.2476	cl21455	P-loop_NTPase superfamily	C	 - 
Q#119 - >Tb927.3.4620	multi-dom	224037	876	1395	7.39138e-31	130.081	COG1112	DNA2	N	 - 
Q#119 - >Tb927.3.4620	multi-dom	289831	729	976	3.22444e-06	48.8739	pfam13086	AAA_11	C	 - 
Q#120 - >Tb927.7.6080	superfamily	299850	877	1089	1.33453e-47	166.651	cl11967	Nucleotidyl_cyc_III superfamily	 - 	 - 
Q#120 - >Tb927.7.6080	superfamily	299141	91	343	5.4152e-11	64.14	cl10011	Periplasmic_Binding_Protein_Type_1 superfamily	 - 	 - 
Q#121 - >Tb927.6.4470	superfamily	295755	109	318	2.8085e-07	49.8094	cl03253	SAM_decarbox superfamily	N	 - 
Q#122 - >Tb927.7.5180	specific	237750	81	163	2.48631e-31	106.865	PRK14548	PRK14548	 - 	cl00326
Q#122 - >Tb927.7.5180	multi-dom	185507	40	164	1.35525e-59	180.666	PTZ00191	PTZ00191	 - 	 - 
Q#123 - >Tb927.10.5710	multi-dom	223003	101	185	0.00212944	37.2576	PHA03169	PHA03169	NC	 - 
Q#124 - >Tb927.11.10370	superfamily	298606	388	915	8.29407e-95	308.297	cl07893	AmyAc_family superfamily	 - 	 - 
Q#124 - >Tb927.11.10370	specific	270212	313	388	0.000248553	40.6321	cd14752	GH31_N	N	cl16409
Q#124 - >Tb927.11.10370	multi-dom	279404	369	858	3.68835e-87	286.358	pfam01055	Glyco_hydro_31	 - 	 - 
Q#127 - >Tb927.11.8480	specific	176459	136	484	1.24003e-98	301.748	cd03586	PolY_Pol_IV_kappa	 - 	cl12025
Q#127 - >Tb927.11.8480	superfamily	294345	499	564	0.00451325	36.5913	cl00509	hot_dog superfamily	N	 - 
Q#127 - >Tb927.11.8480	multi-dom	140232	1	571	0	1216.4	PTZ00205	PTZ00205	 - 	 - 
Q#128 - >Tb927.11.16770	specific	140308	1	253	0	506.602	PTZ00285	PTZ00285	 - 	cl00339
Q#130 - >Tb927.10.14520	multi-dom	237057	210	403	0.00646338	37.5479	PRK12323	PRK12323	N	 - 
Q#131 - >Tb927.1.1140	superfamily	287159	1	334	6.35128e-15	73.0266	cl10846	TM231 superfamily	 - 	 - 
Q#136 - >Tb927.10.16300	superfamily	279282	1	148	1.8363e-06	44.7089	cl03014	Trypan_glycop superfamily	C	 - 
Q#138 - >Tb927.4.5340	superfamily	287215	767	821	0.000143526	42.1389	cl23860	Ax_dynein_light superfamily	N	 - 
Q#140 - >Tb927.6.2610	superfamily	294320	5	39	0.00615749	32.6996	cl00469	NADHdh superfamily	NC	 - 
Q#141 - >Tb927.7.2190	superfamily	281839	62	266	3.02249e-18	80.4863	cl04314	TRAP_alpha superfamily	N	 - 
Q#144 - >Tb927.11.18740	specific	287612	483	595	4.28411e-17	75.5242	pfam10659	Trypan_glycop_C	 - 	cl11264
Q#145 - >Tb927.11.2330	specific	238386	76	305	4.871e-115	337.527	cd00757	ThiF_MoeB_HesA_family	 - 	cl22428
Q#145 - >Tb927.11.2330	superfamily	294087	350	505	3.96755e-16	73.1125	cl00125	RHOD superfamily	 - 	 - 
Q#145 - >Tb927.11.2330	multi-dom	180204	69	312	1.92603e-102	306.001	PRK05690	PRK05690	 - 	 - 
Q#146 - >Tb927.7.5000	specific	185443	3	177	1.37993e-66	203.383	PTZ00097	PTZ00097	 - 	cl00232
Q#147 - >Tb927.11.20350	specific	289949	19	342	9.7567e-60	196.997	pfam13206	VSG_B	 - 	cl20486
Q#147 - >Tb927.11.20350	superfamily	287612	399	426	0.000157385	39.3154	cl11264	Trypan_glycop_C superfamily	N	 - 
Q#148 - >Tb927.7.4940	superfamily	304388	575	781	7.23958e-38	139.674	cl21494	Abhydrolase superfamily	 - 	 - 
Q#148 - >Tb927.7.4940	multi-dom	224684	41	758	2.60748e-95	313.463	COG1770	PtrB	 - 	 - 
Q#149 - >Tb927.7.970	specific	282790	21	252	3.06602e-90	275.671	pfam04981	NMD3	 - 	cl20284
Q#149 - >Tb927.7.970	multi-dom	224416	18	389	2.23117e-50	175.655	COG1499	NMD3	 - 	 - 
Q#150 - >Tb927.10.4590	specific	119398	33	183	1.12174e-09	51.8175	cd06530	S26_SPase_I	 - 	cl10465
Q#150 - >Tb927.10.4590	multi-dom	274044	31	189	3.65635e-06	43.7567	TIGR02227	sigpep_I_bact	 - 	 - 
Q#151 - >Tb927.10.15910	superfamily	294479	306	506	2.39792e-18	86.2411	cl00738	MBOAT superfamily	N	 - 
Q#153 - >Tb927.8.2430	multi-dom	274008	391	952	1.08086e-09	61.611	TIGR02168	SMC_prok_B	C	 - 
Q#158 - >Tb927.11.14230	specific	286532	312	369	4.65926e-15	67.8884	pfam09454	Vps23_core	 - 	cl09692
Q#158 - >Tb927.11.14230	superfamily	304366	414	436	0.00962272	32.676	cl21463	UBA_like_SF superfamily	C	 - 
Q#162 - >Tb927.11.16140	specific	291233	34	166	6.55153e-16	73.0431	pfam14551	MCM_N	 - 	cl20563
Q#162 - >Tb927.11.16140	superfamily	304359	379	518	3.12411e-08	51.5156	cl21455	P-loop_NTPase superfamily	 - 	 - 
Q#162 - >Tb927.11.16140	multi-dom	214631	147	652	0	563.039	smart00350	MCM	 - 	 - 
Q#163 - >Tb927.9.16240	specific	287612	247	340	5.59931e-13	63.1978	pfam10659	Trypan_glycop_C	 - 	cl11264
Q#164 - >Tb927.8.7450	specific	214828	29	264	1.25393e-84	252.276	smart00811	Alpha_kinase	 - 	cl03728
Q#165 - >Tb927.11.9400	superfamily	294274	12	147	1.27039e-10	57.7304	cl00388	Thioredoxin_like superfamily	 - 	 - 
Q#166 - >Tb927.2.5040	specific	197832	132	150	5.61501e-05	37.3199	smart00698	MORN	 - 	cl23356
Q#171 - >Tb927.8.410	specific	287612	425	498	2.36633e-09	53.5678	pfam10659	Trypan_glycop_C	N	cl11264
Q#176 - >Tb927.10.11940	specific	270871	150	425	2.08154e-118	352.174	cd13969	ADCK1-like	 - 	cl21453
Q#176 - >Tb927.10.11940	multi-dom	223733	91	508	8.20388e-81	263.788	COG0661	AarF	 - 	 - 
Q#177 - >Tb927.5.2770	specific	279228	294	342	5.65351e-09	52.4913	pfam00856	SET	N	cl02566
Q#179 - >Tb927.11.16260	specific	279026	3834	4128	3.68459e-41	154.293	pfam00632	HECT	 - 	cl00077
Q#179 - >Tb927.11.16260	specific	293943	1590	1719	6.0089e-24	98.8907	cd12885	SPRY_RanBP_like	 - 	cl02614
Q#179 - >Tb927.11.16260	specific	293931	3478	3594	2.67025e-21	90.5678	cd11709	SPRY	 - 	cl02614
Q#179 - >Tb927.11.16260	superfamily	294208	2518	2546	6.94319e-05	41.6511	cl00295	ZZ superfamily	N	 - 
Q#179 - >Tb927.11.16260	superfamily	295394	2353	2471	0.00907446	37.6593	cl02614	SPRY superfamily	 - 	 - 
Q#179 - >Tb927.11.16260	multi-dom	214523	3813	4123	2.95391e-31	126.194	smart00119	HECTc	 - 	 - 
Q#180 - >Tb927.11.6120	specific	213230	642	863	7.67553e-97	309.821	cd03263	ABC_subfamily_A	 - 	cl21455
Q#180 - >Tb927.11.6120	specific	213230	1418	1635	3.43362e-88	285.168	cd03263	ABC_subfamily_A	 - 	cl21455
Q#180 - >Tb927.11.6120	specific	224196	1204	1361	0.00266552	40.1411	COG1277	NosY	N	cl21474
Q#180 - >Tb927.11.6120	multi-dom	224054	1419	1723	1.99288e-76	254.539	COG1131	CcmA	 - 	 - 
Q#180 - >Tb927.11.6120	multi-dom	224054	641	950	7.69546e-68	229.887	COG1131	CcmA	 - 	 - 
Q#180 - >Tb927.11.6120	multi-dom	289468	1009	1366	3.22889e-31	125.582	pfam12698	ABC2_membrane_3	 - 	 - 
Q#180 - >Tb927.11.6120	multi-dom	289468	245	580	4.18078e-14	74.3508	pfam12698	ABC2_membrane_3	 - 	 - 
Q#181 - >Tb927.8.5950	specific	132954	72	337	1.08493e-134	383.095	cd06623	PKc_MAPKK_plant_like	 - 	cl21453
Q#181 - >Tb927.8.5950	multi-dom	214567	79	332	3.20591e-83	251.68	smart00220	S_TKc	 - 	 - 
Q#182 - >Tb927.8.2480	superfamily	304400	59	335	7.81581e-45	152.658	cl21511	PEMT superfamily	 - 	 - 
Q#183 - >Tb927.4.3600	superfamily	299896	18	93	0.000725362	33.9602	cl12080	Pcc1 superfamily	 - 	 - 
Q#184 - >Tb927.6.310	specific	278633	895	1107	4.44782e-58	197.081	pfam00211	Guanylate_cyc	 - 	cl11967
Q#184 - >Tb927.6.310	superfamily	299141	132	432	5.01697e-08	54.8952	cl10011	Periplasmic_Binding_Protein_Type_1 superfamily	 - 	 - 
Q#185 - >Tb927.3.2270	superfamily	293181	9	114	1.27384e-12	62.1371	cl24964	CLP1_N superfamily	 - 	 - 
Q#185 - >Tb927.3.2270	superfamily	304359	128	231	3.08148e-11	60.7162	cl21455	P-loop_NTPase superfamily	C	 - 
Q#185 - >Tb927.3.2270	multi-dom	227910	10	439	1.69995e-09	58.0289	COG5623	CLP1	 - 	 - 
Q#186 - >Tb927.5.4590	superfamily	304359	3	48	0.00481809	34.6119	cl21455	P-loop_NTPase superfamily	NC	 - 
Q#190 - >Tb927.2.4060	superfamily	295369	528	791	2.17325e-06	48.8704	cl02567	WD40 superfamily	 - 	 - 
Q#190 - >Tb927.2.4060	multi-dom	225201	468	805	2.52931e-15	78.2067	COG2319	WD40	N	 - 
Q#191 - >Tb927.8.3060	specific	238247	84	547	5.45501e-169	490.521	cd00433	Peptidase_M17	 - 	cl21720
Q#191 - >Tb927.8.3060	superfamily	291976	565	668	0.000717665	40.1313	cl21174	TP53IP5 superfamily	NC	 - 
Q#191 - >Tb927.8.3060	multi-dom	240407	1	564	0	1002.95	PTZ00412	PTZ00412	 - 	 - 
Q#192 - >Tb927.8.950	multi-dom	293336	28	200	2.66384e-37	134.013	pfam16731	GARP	 - 	 - 
Q#192 - >Tb927.8.950	multi-dom	293336	241	400	1.78206e-14	70.455	pfam16731	GARP	 - 	 - 
Q#193 - >Tb927.4.1790	superfamily	294230	3	373	3.17838e-110	326.418	cl00324	RplC superfamily	 - 	 - 
Q#193 - >Tb927.4.1790	multi-dom	240267	1	393	0	701.845	PTZ00103	PTZ00103	 - 	 - 
Q#194 - >Tb927.10.8480	specific	119392	112	495	2.02484e-18	85.4433	cd06174	MFS	 - 	cl21472
Q#194 - >Tb927.10.8480	multi-dom	278511	39	500	3.27522e-112	339.245	pfam00083	Sugar_tr	 - 	 - 
Q#195 - >Tb927.3.1990	specific	289919	319	339	0.00372296	33.6907	pfam13176	TPR_7	C	cl22897
Q#195 - >Tb927.3.1990	multi-dom	290160	274	349	1.6128e-07	47.4093	pfam13424	TPR_12	 - 	 - 
Q#195 - >Tb927.3.1990	multi-dom	290160	315	389	0.000195771	38.5497	pfam13424	TPR_12	 - 	 - 
Q#196 - >Tb927.9.12670	specific	290419	165	184	1.15189e-08	48.664	pfam13696	zf-CCHC_2	 - 	cl16353
Q#196 - >Tb927.9.12670	multi-dom	227547	1	356	3.72894e-20	89.8059	COG5222	COG5222	 - 	 - 
Q#198 - >Tb927.11.16350	specific	281325	52	171	4.19432e-24	90.2229	pfam03311	Cornichon	 - 	cl04000
Q#199 - >Tb927.10.3140	specific	289563	87	127	2.50101e-05	40.3263	pfam12799	LRR_4	 - 	cl19302
Q#199 - >Tb927.10.3140	specific	289563	131	169	0.00106351	35.7039	pfam12799	LRR_4	 - 	cl19302
Q#199 - >Tb927.10.3140	specific	289563	45	84	0.00268703	34.5483	pfam12799	LRR_4	 - 	cl19302
Q#199 - >Tb927.10.3140	multi-dom	290566	66	119	8.9066e-07	45.2111	pfam13855	LRR_8	 - 	 - 
Q#199 - >Tb927.10.3140	multi-dom	290566	107	163	0.000199772	38.2775	pfam13855	LRR_8	 - 	 - 
Q#199 - >Tb927.10.3140	multi-dom	290566	22	77	0.00659538	34.0403	pfam13855	LRR_8	 - 	 - 
Q#201 - >Tb927.8.7900	superfamily	299850	876	1088	2.81237e-48	168.962	cl11967	Nucleotidyl_cyc_III superfamily	 - 	 - 
Q#201 - >Tb927.8.7900	superfamily	299141	101	337	2.88557e-10	61.8288	cl10011	Periplasmic_Binding_Protein_Type_1 superfamily	 - 	 - 
Q#201 - >Tb927.8.7900	superfamily	299141	525	743	0.00793665	38.5564	cl10011	Periplasmic_Binding_Protein_Type_1 superfamily	 - 	 - 
Q#201 - >Tb927.8.7900	multi-dom	225025	832	1086	1.29871e-25	105.315	COG2114	AcyC	 - 	 - 
Q#202 - >Tb927.10.1950	superfamily	238064	368	658	6.72554e-13	68.9213	cl23707	LRR_RI superfamily	 - 	 - 
Q#202 - >Tb927.10.1950	superfamily	238064	270	440	3.81031e-10	60.447	cl23707	LRR_RI superfamily	NC	 - 
Q#203 - >Tb927.11.7500	specific	282144	22	115	1.19725e-16	68.2563	pfam04241	DUF423	 - 	cl01008
Q#204 - >Tb927.11.2210	specific	153249	1274	1489	6.58643e-34	128.945	cd07987	LPLAT_MGAT-like	 - 	cl17185
Q#205 - >Tb927.5.630	specific	288563	11	276	2.4608e-80	246.955	pfam11727	ISG65-75	 - 	cl19916
Q#206 - >Tb927.7.6460	specific	290251	517	573	2.44466e-05	41.4327	pfam13517	VCBS	 - 	cl21563
