prot_id	location	type	transcript_length	cds_length	pseudogene	description	go	comments	Is_Reversed	chromosome	line_location	mol_weight	iso_point
Tb05.5K5.240	70,491 - 71,678 (+)	protein coding	1188	1188	0	expression site-associated gene (ESAG) protein, putative			0	5K5_v5.1	5K5_v5.1:70491-71678	45395	8.52
Tb05.5K5.250	73,416 - 73,871 (+)	protein coding	456	456	0	hypothetical protein			0	5K5_v5.1	5K5_v5.1:73416-73871	17419	11.62
Tb05.5K5.260	76,324 - 77,355 (+)	protein coding	1032	1032	0	variant surface glycoprotein (VSG), putative			0	5K5_v5.1	5K5_v5.1:76324-77355	38339	6.31
Tb05.5K5.270	78,375 - 79,256 (+)	protein coding	882	882	1	expression site-associated gene (ESAG, pseudogene), putative			0	5K5_v5.1	5K5_v5.1:78375-79256	31332	11.04
Tb05.5K5.280	82,316 - 83,290 (+)	protein coding	975	975	1	expression site-associated gene (ESAG, pseudogene), putative			0	5K5_v5.1	5K5_v5.1:82316-83290	35461	4.84
Tb05.5K5.290	85,390 - 86,076 (-)	protein coding	687	687	0	hypothetical protein			1	5K5_v5.1	5K5_v5.1:85390-86076	25576	10.43
Tb05.5K5.30	2,554 - 7,701 (-)	protein coding	5148	1911	0	serine/threonine protein phosphatase, putative	GO:0031514|Cellular Component|motile cilium|GeneDB|IDA|,GO:0016787|Molecular Function|hydrolase activity|Interpro|IEA		1	5K5_v5.1	5K5_v5.1:2554-7701	71371	7.51
Tb05.5K5.300	88,020 - 89,645 (-)	protein coding	1626	1626	1	variant surface glycoprotein (VSG, pseudogene), putative			1	5K5_v5.1	5K5_v5.1:88020-89645	58816	10.07
Tb05.5K5.310	89,861 - 90,997 (-)	protein coding	1137	1137	1	expression site-associated gene (ESAG) protein, putative			1	5K5_v5.1	5K5_v5.1:89861-90997	40438	10.56
Tb05.5K5.320	92,058 - 93,524 (-)	protein coding	1467	1467	0	variant surface glycoprotein (VSG), putative			1	5K5_v5.1	5K5_v5.1:92058-93524	52604	6.39
Tb05.5K5.330	95,867 - 97,411 (-)	protein coding	1545	1545	1	variant surface glycoprotein (VSG, pseudogene), putative	GO:0020012|Biological Process|evasion or tolerance of host immune response|Interpro|IEA		1	5K5_v5.1	5K5_v5.1:95867-97411	54975	8.36
Tb05.5K5.340	99,284 - 100,894 (-)	protein coding	1611	1611	1	variant surface glycoprotein (VSG, pseudogene), putative			1	5K5_v5.1	5K5_v5.1:99284-100894	57724	10.69
Tb05.5K5.350	101,144 - 102,241 (-)	protein coding	1098	1098	1	expression site-associated gene (ESAG, pseudogene), putative			1	5K5_v5.1	5K5_v5.1:101144-102241	40123	5.87
Tb05.5K5.360	102,882 - 104,444 (-)	protein coding	1563	1563	1	variant surface glycoprotein (VSG, pseudogene), putative			1	5K5_v5.1	5K5_v5.1:102882-104444	55021	6.6
Tb05.5K5.370	106,286 - 107,920 (-)	protein coding	1635	1635	1	variant surface glycoprotein (VSG, pseudogene), putative			1	5K5_v5.1	5K5_v5.1:106286-107920	60143	11.02
Tb05.5K5.380	108,989 - 110,575 (-)	protein coding	1587	1587	1	variant surface glycoprotein (VSG, pseudogene), putative	GO:0020012|Biological Process|evasion or tolerance of host immune response|Interpro|IEA		1	5K5_v5.1	5K5_v5.1:108989-110575	57084	7.43
Tb05.5K5.390	112,251 - 113,741 (-)	protein coding	1491	1491	1	variant surface glycoprotein (VSG, pseudogene), putative			1	5K5_v5.1	5K5_v5.1:112251-113741	55574	12.09
Tb05.5K5.40	8,406 - 9,012 (-)	protein coding	607	408	0	hypothetical protein, conserved			1	5K5_v5.1	5K5_v5.1:8406-9012	15064	5.27
Tb05.5K5.400	117,344 - 118,546 (-)	protein coding	1203	1203	1	variant surface glycoprotein (VSG, pseudogene), putative	GO:0020012|Biological Process|evasion or tolerance of host immune response|Interpro|IEA		1	5K5_v5.1	5K5_v5.1:117344-118546	42012	7.7
Tb05.5K5.410	120,462 - 122,033 (-)	protein coding	1572	1572	1	variant surface glycoprotein (VSG, pseudogene), putative			1	5K5_v5.1	5K5_v5.1:120462-122033	55111	8.77
Tb05.5K5.420	122,167 - 123,255 (-)	protein coding	1089	1089	1	variant surface glycoprotein (VSG, pseudogene), putative			1	5K5_v5.1	5K5_v5.1:122167-123255	40694	9.56
Tb05.5K5.430	124,429 - 125,868 (-)	protein coding	1440	1440	0	variant surface glycoprotein (VSG), putative			1	5K5_v5.1	5K5_v5.1:124429-125868	52658	9.77
Tb05.5K5.440	127,693 - 129,411 (-)	protein coding	1719	1719	1	variant surface glycoprotein (VSG, pseudogene), putative			1	5K5_v5.1	5K5_v5.1:127693-129411	60169	7.89
Tb05.5K5.450	131,259 - 132,734 (-)	protein coding	1476	1476	1	variant surface glycoprotein (VSG, pseudogene), putative			1	5K5_v5.1	5K5_v5.1:131259-132734	53866	9.74
Tb05.5K5.460	134,559 - 136,277 (-)	protein coding	1719	1719	1	variant surface glycoprotein (VSG), pseudogene			1	5K5_v5.1	5K5_v5.1:134559-136277	60169	7.89
Tb05.5K5.470	138,184 - 139,749 (-)	protein coding	1566	1566	1	variant surface glycoprotein (VSG, pseudogene), putative			1	5K5_v5.1	5K5_v5.1:138184-139749	57067	8.5
Tb05.5K5.480	141,766 - 143,313 (-)	protein coding	1548	1548	1	variant surface glycoprotein (VSG, pseudogene), putative	GO:0020012|Biological Process|evasion or tolerance of host immune response|Interpro|IEA		1	5K5_v5.1	5K5_v5.1:141766-143313	55639	10.14
Tb05.5K5.490	144,327 - 145,871 (-)	protein coding	1545	1545	1	variant surface glycoprotein (VSG, pseudogene), putative			1	5K5_v5.1	5K5_v5.1:144327-145871	56272	10.45
Tb05.5K5.50	9,142 - 10,828 (-)	protein coding	1687	1299	0	hypothetical protein, conserved			1	5K5_v5.1	5K5_v5.1:9142-10828	47231	9.36
Tb05.5K5.500	146,132 - 147,163 (-)	protein coding	1032	1032	1	expression site-associated gene (ESAG, pseudogene), putative			1	5K5_v5.1	5K5_v5.1:146132-147163	39068	9.09
Tb05.5K5.510	147,286 - 148,407 (-)	protein coding	1122	1122	1	phosphoglycan beta 1,3 galactosyltransferase, degenerate			1	5K5_v5.1	5K5_v5.1:147286-148407	43236	8.65
Tb05.5K5.520	149,334 - 150,908 (-)	protein coding	1575	1575	1	variant surface glycoprotein (VSG, pseudogene), putative	GO:0020012|Biological Process|evasion or tolerance of host immune response|Interpro|IEA		1	5K5_v5.1	5K5_v5.1:149334-150908	57510	10.98
Tb05.5K5.530	152,786 - 154,174 (-)	protein coding	1389	1389	0	variant surface glycoprotein (VSG), putative			1	5K5_v5.1	5K5_v5.1:152786-154174	49474	7.03
Tb05.5K5.540	155,811 - 157,295 (-)	protein coding	1485	1485	1	variant surface glycoprotein (VSG, pseudogene), putative			1	5K5_v5.1	5K5_v5.1:155811-157295	54002	11
Tb05.5K5.60	10,957 - 11,739 (-)	protein coding	783	657	0	hypothetical protein, conserved			1	5K5_v5.1	5K5_v5.1:10957-11739	23594	11.23
Tb05.5K5.70	11,904 - 14,331 (-)	protein coding	2428	1899	0	nucleolar RNA helicase II, putative	GO:0005634|Cellular Component|nucleus|Interpro|IEA|,GO:0003676|Molecular Function|nucleic acid binding|Interpro|IEA|,GO:0003723|Molecular Function|RNA binding|Interpro|IEA|,GO:0004386|Molecular Function|helicase activity|Interpro|IEA|,GO:0005524|Molecular Function|ATP binding|Interpro|IEA|,GO:0008026|Molecular Function|ATP-dependent helicase activity|Interpro|IEA		1	5K5_v5.1	5K5_v5.1:11904-14331	68787	8.07
Tb05.5K5.80	14,443 - 16,182 (-)	protein coding	1740	1056	0	protein kinase, putative	GO:0006468|Biological Process|protein phosphorylation|Interpro|IEA|,GO:0004672|Molecular Function|protein kinase activity|Interpro|IEA|,GO:0005524|Molecular Function|ATP binding|Interpro|IEA|,GO:0016772|Molecular Function|transferase activity  transferring phosphorus-containing groups|Interpro|IEA	Tb927.5.4430 and Tb05.5K5.80 are the same gene  2 In Progress  Michael Urbaniak, Lancaster University 2011-04-12 15:57:03 | 	1	5K5_v5.1	5K5_v5.1:14443-16182	39291	6.51
Tb05.5K5.90	16,499 - 16,915 (-)	protein coding	417	273	0	dynein light chain, putative	GO:0007017|Biological Process|microtubule-based process|Interpro|IEA|,GO:0005875|Cellular Component|microtubule associated complex|Interpro|IEA		1	5K5_v5.1	5K5_v5.1:16499-16915	10546	8.49
Tb06.3A7.270	389,986 - 393,393 (-)	protein coding	3408	3408	0	hypothetical protein, conserved		Internal splice site only 20700444 698 Pending  Torsten Ochsenreiter, Institute of Cell Biology, University of Bern, Switzerland 2010-09-15 21:53:14 | 	1	Tb927_06_v5.1	Tb927_06_v5.1:389986-393393	123844	7.39
Tb06.3A7.960	484,320 - 485,252 (+)	protein coding	933	933	0	hypothetical protein			0	Tb927_06_v5.1	Tb927_06_v5.1:484320-485252	34146	5.9
Tb07.11L3.100	30,224 - 47,002 (-)	protein coding	16779	3795	0	hypothetical protein, conserved			1	11L3_v3	11L3_v3:30224-47002	138182	8.14
Tb07.11L3.90	26,793 - 27,923 (-)	protein coding	1131	1131	0	zinc finger protein family member, putative (ZC3H18)	GO:0003676|Molecular Function|nucleic acid binding|Interpro|IEA|,GO:0008270|Molecular Function|zinc ion binding|Interpro|IEA		1	11L3_v3	11L3_v3:26793-27923	40865	8.05
Tb07.26A24.210	1,280,165 - 1,280,617 (-)	protein coding	453	453	0	unspecified product		Internal splice site only 20700444 698 Pending  Torsten Ochsenreiter, Institute of Cell Biology, University of Bern, Switzerland 2010-09-15 21:53:14 | 	1	Tb927_07_v5.1	Tb927_07_v5.1:1280165-1280617	17599	10.15
Tb07.30D13.110	2,186,105 - 2,186,863 (+)	protein coding	759	759	1	hypothetical protein, conserved (pseudogene)			0	Tb927_07_v5.1	Tb927_07_v5.1:2186105-2186863	27390	9.12
Tb07.30D13.130	2,185,049 - 2,185,687 (+)	protein coding	639	639	1	hypothetical protein, conserved (pseudogene)			0	Tb927_07_v5.1	Tb927_07_v5.1:2185049-2185687	24267	10.52
Tb07.30D13.160	2,178,717 - 2,179,475 (+)	protein coding	759	759	1	hypothetical protein, conserved (pseudogene)			0	Tb927_07_v5.1	Tb927_07_v5.1:2178717-2179475	27392	9.36
Tb07.30D13.180	2,177,548 - 2,178,291 (+)	protein coding	744	744	1	hypothetical protein, conserved (pseudogene)			0	Tb927_07_v5.1	Tb927_07_v5.1:2177548-2178291	26566	10.33
Tb07.30D13.60	2,193,496 - 2,194,254 (+)	protein coding	759	759	1	hypothetical protein, conserved (pseudogene)			0	Tb927_07_v5.1	Tb927_07_v5.1:2193496-2194254	27436	9.12
Tb07.30D13.80	2,192,294 - 2,193,070 (+)	protein coding	777	777	1	hypothetical protein, conserved (pseudogene)			0	Tb927_07_v5.1	Tb927_07_v5.1:2192294-2193070	27595	9.81
Tb08.27P2.110	11,838 - 12,836 (+)	protein coding	999	999	0	PAP2 superfamily, putative	GO:0016020|Cellular Component|membrane|Interpro|IEA|,GO:0003824|Molecular Function|catalytic activity|Interpro|IEA		0	Tbrucei.chr8.100	Tbrucei.chr8.100:11838-12836	36814	8.86
Tb08.27P2.120	14,333 - 15,623 (-)	protein coding	1290	1290	1	variant surface glycoprotein (VSG, pseudogene), putative			1	Tbrucei.chr8.100	Tbrucei.chr8.100:14333-15623	46543	7.69
Tb08.27P2.140	17,837 - 19,432 (-)	protein coding	1596	1596	0	variant surface glycoprotein (VSG, atypical), putative			1	Tbrucei.chr8.100	Tbrucei.chr8.100:17837-19432	57513	7.09
Tb08.27P2.150	20,999 - 22,525 (-)	protein coding	1527	1527	1	variant surface glycoprotein (VSG, pseudogene), putative			1	Tbrucei.chr8.100	Tbrucei.chr8.100:20999-22525	53384	9.6
Tb08.27P2.160	22,974 - 24,068 (-)	protein coding	1092	1092	1	expression site-associated gene (ESAG, pseudogene), putative			1	Tbrucei.chr8.100	Tbrucei.chr8.100:22974-24068	41793	8.53
Tb08.27P2.165	24,756 - 26,296 (-)	protein coding	1539	1539	1	variant surface glycoprotein (VSG, pseudogene), putative	GO:0020012|Biological Process|evasion or tolerance of host immune response|Interpro|IEA		1	Tbrucei.chr8.100	Tbrucei.chr8.100:24756-26296	56460	8.04
Tb08.27P2.190	27,956 - 29,354 (-)	protein coding	1398	1398	1	variant surface glycoprotein (VSG, pseudogene), putative			1	Tbrucei.chr8.100	Tbrucei.chr8.100:27956-29354	50013	5.29
Tb08.27P2.210	30,786 - 32,207 (-)	protein coding	1422	1422	1	variant surface glycoprotein (VSG, pseudogene), putative	GO:0020012|Biological Process|evasion or tolerance of host immune response|Interpro|IEA		1	Tbrucei.chr8.100	Tbrucei.chr8.100:30786-32207	50213	8.03
Tb08.27P2.220	34,020 - 35,534 (-)	protein coding	1515	1515	0	variant surface glycoprotein (VSG, atypical), putative	GO:0020012|Biological Process|evasion or tolerance of host immune response|Interpro|IEA		1	Tbrucei.chr8.100	Tbrucei.chr8.100:34020-35534	54022	7.98
Tb08.27P2.230	36,898 - 38,440 (-)	protein coding	1539	1539	1	variant surface glycoprotein (VSG, pseudogene), putative			1	Tbrucei.chr8.100	Tbrucei.chr8.100:36898-38440	54922	7.65
Tb08.27P2.240	40,830 - 42,425 (-)	protein coding	1596	1596	0	variant surface glycoprotein (VSG), putative			1	Tbrucei.chr8.100	Tbrucei.chr8.100:40830-42425	57543	6.29
Tb08.27P2.250	42,775 - 43,876 (-)	protein coding	1101	1101	1	expression site-associated gene (ESAG, pseudogene), putative			1	Tbrucei.chr8.100	Tbrucei.chr8.100:42775-43876	41692	7.49
Tb08.27P2.260	45,310 - 46,839 (-)	protein coding	1530	1530	0	variant surface glycoprotein (VSG, atypical), putative	GO:0020012|Biological Process|evasion or tolerance of host immune response|Interpro|IEA		1	Tbrucei.chr8.100	Tbrucei.chr8.100:45310-46839	54107	7.88
Tb08.27P2.270	48,217 - 49,616 (-)	protein coding	1398	1398	1	variant surface glycoprotein (VSG, pseudogene), putative			1	Tbrucei.chr8.100	Tbrucei.chr8.100:48217-49616	50000	9.66
Tb08.27P2.290	51,710 - 53,263 (-)	protein coding	1554	1554	0	variant surface glycoprotein (VSG, atypical), putative			1	Tbrucei.chr8.100	Tbrucei.chr8.100:51710-53263	55132	7.73
Tb08.27P2.310	55,260 - 56,811 (-)	protein coding	1548	1548	1	variant surface glycoprotein (VSG, pseudogene), putative			1	Tbrucei.chr8.100	Tbrucei.chr8.100:55260-56811	55174	8.46
Tb08.27P2.330	57,117 - 58,120 (-)	protein coding	1003	1002	1	expression site-associated gene (ESAG, pseudogene), putative			1	Tbrucei.chr8.100	Tbrucei.chr8.100:57117-58120	37739	7.91
Tb08.27P2.340	59,106 - 60,655 (-)	protein coding	1548	1548	1	variant surface glycoprotein (VSG, pseudogene), putative	GO:0020012|Biological Process|evasion or tolerance of host immune response|Interpro|IEA		1	Tbrucei.chr8.100	Tbrucei.chr8.100:59106-60655	55677	8.09
Tb08.27P2.370	62,418 - 63,866 (-)	protein coding	1449	1449	1	variant surface glycoprotein (VSG, pseudogene), putative	GO:0020012|Biological Process|evasion or tolerance of host immune response|Interpro|IEA		1	Tbrucei.chr8.100	Tbrucei.chr8.100:62418-63866	50578	8.7
Tb08.27P2.380	65,291 - 66,843 (-)	protein coding	1551	1551	1	variant surface glycoprotein (VSG, pseudogene), putative	GO:0020012|Biological Process|evasion or tolerance of host immune response|Interpro|IEA		1	Tbrucei.chr8.100	Tbrucei.chr8.100:65291-66843	56836	9.98
Tb08.27P2.390	69,131 - 70,622 (-)	protein coding	1491	1491	1	variant surface glycoprotein (VSG, pseudogene), putative			1	Tbrucei.chr8.100	Tbrucei.chr8.100:69131-70622	53110	7.86
Tb08.27P2.400	70,778 - 71,852 (-)	protein coding	1074	1074	1	expression site-associated gene (ESAG, pseudogene), putative			1	Tbrucei.chr8.100	Tbrucei.chr8.100:70778-71852	41133	7.73
Tb08.27P2.410	73,343 - 74,097 (-)	protein coding	753	753	1	variant surface glycoprotein (VSG, pseudogene), putative			1	Tbrucei.chr8.100	Tbrucei.chr8.100:73343-74097	27889	9.96
Tb08.27P2.435	82,105 - 82,386 (-)	protein coding	282	282	1	variant surface glycoprotein (VSG, pseudogene), putative			1	Tbrucei.chr8.100	Tbrucei.chr8.100:82105-82386	10447	8.2
Tb08.27P2.460	84,917 - 86,386 (-)	protein coding	1470	1470	0	variant surface glycoprotein (VSG), putative			1	Tbrucei.chr8.100	Tbrucei.chr8.100:84917-86386	52765	8.3
Tb08.27P2.480	89,123 - 90,732 (-)	protein coding	1608	1608	1	variant surface glycoprotein (VSG, pseudogene), putative			1	Tbrucei.chr8.100	Tbrucei.chr8.100:89123-90732	57231	7.76
Tb08.27P2.490	92,556 - 94,145 (-)	protein coding	1590	1590	1	variant surface glycoprotein (VSG, pseudogene), putative	GO:0020012|Biological Process|evasion or tolerance of host immune response|Interpro|IEA		1	Tbrucei.chr8.100	Tbrucei.chr8.100:92556-94145	56279	9.4
Tb08.27P2.50	4,550 - 5,005 (-)	protein coding	456	456	0	hypothetical protein			1	Tbrucei.chr8.100	Tbrucei.chr8.100:4550-5005	17043	6.33
Tb08.27P2.510	95,919 - 97,385 (-)	protein coding	1467	1467	1	variant surface glycoprotein (VSG, pseudogene), putative			1	Tbrucei.chr8.100	Tbrucei.chr8.100:95919-97385	51548	7.3
Tb08.27P2.520	97,575 - 98,602 (-)	protein coding	1026	1026	1	expression site-associated gene (ESAG, pseudogene), putative			1	Tbrucei.chr8.100	Tbrucei.chr8.100:97575-98602	38491	8.43
Tb08.27P2.530	99,384 - 100,856 (-)	protein coding	1473	1473	1	variant surface glycoprotein (VSG, pseudogene), putative			1	Tbrucei.chr8.100	Tbrucei.chr8.100:99384-100856	52282	9.22
Tb08.27P2.550	102,453 - 104,032 (-)	protein coding	1578	1578	1	variant surface glycoprotein (VSG, pseudogene), putative			1	Tbrucei.chr8.100	Tbrucei.chr8.100:102453-104032	55192	6.82
Tb08.27P2.555	121,405 - 122,568 (-)	protein coding	1164	1164	1	phosphoglycan beta 1,3 galactosyltransferase, degenerate			1	Tbrucei.chr8.100	Tbrucei.chr8.100:121405-122568	45000	6.72
Tb08.27P2.565	106,202 - 106,612 (-)	protein coding	408	408	1	variant surface glycoprotein (VSG, pseudogene), putative			1	Tbrucei.chr8.100	Tbrucei.chr8.100:106202-106612	14209	8.57
Tb08.27P2.580	107,148 - 108,858 (-)	protein coding	1710	1710	1	variant surface glycoprotein (VSG, pseudogene), putative			1	Tbrucei.chr8.100	Tbrucei.chr8.100:107148-108858	60439	7.73
Tb08.27P2.60	5,283 - 5,810 (+)	protein coding	528	528	0	hypothetical protein			0	Tbrucei.chr8.100	Tbrucei.chr8.100:5283-5810	20055	8.1
Tb08.27P2.610	110,064 - 111,596 (-)	protein coding	1527	1527	1	variant surface glycoprotein (VSG, pseudogene), putative	GO:0020012|Biological Process|evasion or tolerance of host immune response|Interpro|IEA		1	Tbrucei.chr8.100	Tbrucei.chr8.100:110064-111596	53392	8.16
Tb08.27P2.620	113,583 - 115,170 (-)	protein coding	1581	1581	1	variant surface glycoprotein (VSG, pseudogene), putative	GO:0020012|Biological Process|evasion or tolerance of host immune response|Interpro|IEA		1	Tbrucei.chr8.100	Tbrucei.chr8.100:113583-115170	57055	9.81
Tb08.27P2.630	116,413 - 117,932 (-)	protein coding	1518	1518	1	variant surface glycoprotein (VSG, pseudogene), putative			1	Tbrucei.chr8.100	Tbrucei.chr8.100:116413-117932	53942	8.16
Tb08.27P2.640	119,770 - 121,323 (-)	protein coding	1554	1554	1	variant surface glycoprotein (VSG, pseudogene), putative			1	Tbrucei.chr8.100	Tbrucei.chr8.100:119770-121323	53078	8.27
Tb08.27P2.650	123,742 - 125,274 (-)	protein coding	1533	1533	1	variant surface glycoprotein (VSG, pseudogene), putative			1	Tbrucei.chr8.100	Tbrucei.chr8.100:123742-125274	55092	8.43
Tb08.27P2.660	127,149 - 128,737 (-)	protein coding	1584	1584	1	variant surface glycoprotein (VSG, pseudogene), putative			1	Tbrucei.chr8.100	Tbrucei.chr8.100:127149-128737	56830	8.42
Tb08.27P2.670	130,435 - 132,060 (-)	protein coding	1626	1626	0	variant surface glycoprotein (VSG, atypical), putative			1	Tbrucei.chr8.100	Tbrucei.chr8.100:130435-132060	57436	7.88
Tb08.27P2.680	133,919 - 135,451 (-)	protein coding	1533	1533	1	variant surface glycoprotein (VSG, pseudogene), putative			1	Tbrucei.chr8.100	Tbrucei.chr8.100:133919-135451	54787	7.22
Tb08.27P2.690	137,305 - 138,167 (-)	protein coding	858	858	1	variant surface glycoprotein (VSG, pseudogene), putative			1	Tbrucei.chr8.100	Tbrucei.chr8.100:137305-138167	30440	6.82
Tb08.27P2.70	5,898 - 6,725 (+)	protein coding	828	816	0	hypothetical protein			0	Tbrucei.chr8.100	Tbrucei.chr8.100:5898-6725	31346	5.2
Tb08.27P2.710	140,061 - 141,519 (-)	protein coding	1458	1458	1	variant surface glycoprotein (VSG, pseudogene), putative			1	Tbrucei.chr8.100	Tbrucei.chr8.100:140061-141519	51577	6.32
Tb08.27P2.720	144,082 - 145,546 (-)	protein coding	1464	1464	1	variant surface glycoprotein (VSG, pseudogene), putative			1	Tbrucei.chr8.100	Tbrucei.chr8.100:144082-145546	52354	8.69
Tb08.27P2.80	7,871 - 8,815 (+)	protein coding	945	945	0	hypothetical protein			0	Tbrucei.chr8.100	Tbrucei.chr8.100:7871-8815	35902	8.07
Tb08.27P2.90	8,903 - 9,760 (+)	protein coding	858	846	0	hypothetical protein			0	Tbrucei.chr8.100	Tbrucei.chr8.100:8903-9760	31930	4.56
Tb09.v4.0009	785 - 4,513 (+)	protein coding	3729	3729	0	receptor-type adenylate cyclase, putative	GO:0009190|Biological Process|cyclic nucleotide biosynthetic process|Interpro|IEA|,GO:0035556|Biological Process|intracellular signal transduction|Interpro|IEA|,GO:0016849|Molecular Function|phosphorus-oxygen lyase activity|Interpro|IEA		0	TP26M21-2a10.p1k_v5.1	TP26M21-2a10.p1k_v5.1:785-4513	137477	6.33
Tb09.v4.0010	8,759 - 10,114 (+)	protein coding	1356	1356	1	variant surface glycoprotein (VSG), pseudogene	GO:0020012|Biological Process|evasion or tolerance of host immune response|Interpro|IEA		0	TP26M21-2a10.p1k_v5.1	TP26M21-2a10.p1k_v5.1:8759-10114	49318	5.71
Tb09.v4.0011	12,932 - 14,353 (+)	protein coding	1422	1422	0	variant surface glycoprotein (VSG), putative			0	TP26M21-2a10.p1k_v5.1	TP26M21-2a10.p1k_v5.1:12932-14353	52524	6.82
Tb09.v4.0012	21,382 - 22,809 (+)	protein coding	1428	1428	0	variant surface glycoprotein (VSG), putative			0	TP26M21-2a10.p1k_v5.1	TP26M21-2a10.p1k_v5.1:21382-22809	53294	6.92
Tb09.v4.0013	26,702 - 32,193 (-)	protein coding	5492	1761	0	retrotransposon hot spot (RHS) protein, putative			1	TP26M21-2a10.p1k_v5.1	TP26M21-2a10.p1k_v5.1:26702-32193	67731	8.5
