Gene ID	Product Description	Gene Type	Input ID	# TM Domains	EC numbers	EC numbers from OrthoMCL	
Tb05.5K5.510	phosphoglycan beta 1,3 galactosyltransferase, degenerate	pseudogene	Tb05.5K5.510	0	N/A	N/A	
Tb05.5K5.520	variant surface glycoprotein, degenerate	pseudogene	Tb05.5K5.520	0	N/A	N/A	
Tb05.5K5.530	variant surface glycoprotein (VSG), putative	protein coding gene	Tb05.5K5.530	0	N/A	N/A	
Tb05.5K5.540	variant surface glycoprotein, degenerate	pseudogene	Tb05.5K5.540	0	N/A	N/A	
Tb05.5K5.60	hypothetical protein, conserved	protein coding gene	Tb05.5K5.60	0	N/A	N/A	
Tb05.5K5.70	nucleolar RNA helicase II, putative	protein coding gene	Tb05.5K5.70	0	3.6.4.13 (RNA helicase)	3.6.1.- (In phosphorus-containing anhydrides.);3.6.1.15 (Nucleoside-triphosphate phosphatase);3.6.1.3 (Deleted entry);3.6.4.13 (RNA helicase)	
Tb05.5K5.80	calcium/calmodulin-dependent protein kinase, putative	protein coding gene	Tb05.5K5.80	0	N/A	2.7.1.- (Phosphotransferases with an alcohol group as acceptor.);2.7.11.- (Protein-serine/threonine kinases.);2.7.11.1 (Non-specific serine/threonine protein kinase)	
Tb05.5K5.90	dynein light chain, putative	protein coding gene	Tb05.5K5.90	0	N/A	N/A	
Tb06.3A7.270	hypothetical protein, conserved	protein coding gene	Tb06.3A7.270	0	N/A	N/A	
Tb06.3A7.960	hypothetical protein	protein coding gene	Tb06.3A7.960	0	N/A	N/A	
Tb07.11L3.100	SUMO-interacting motif-containing protein	protein coding gene	Tb07.11L3.100	0	N/A	N/A	
Tb07.11L3.90	zinc finger protein family member, putative	protein coding gene	Tb07.11L3.90	0	N/A	N/A	
Tb07.30D13.110	hypothetical protein, conserved (pseudogene)	pseudogene	Tb07.30D13.110	0	N/A	N/A	
Tb07.30D13.130	hypothetical protein, conserved (pseudogene)	pseudogene	Tb07.30D13.130	0	N/A	N/A	
Tb07.30D13.160	hypothetical protein, conserved (pseudogene)	pseudogene	Tb07.30D13.160	0	N/A	N/A	
Tb07.30D13.180	hypothetical protein, conserved (pseudogene)	pseudogene	Tb07.30D13.180	0	N/A	N/A	
Tb07.30D13.60	hypothetical protein, conserved (pseudogene)	pseudogene	Tb07.30D13.60	0	N/A	N/A	
Tb07.30D13.80	hypothetical protein, conserved (pseudogene)	pseudogene	Tb07.30D13.80	0	N/A	N/A	
Tb08.27P2.110	PAP2 superfamily, putative	protein coding gene	Tb08.27P2.110	6	N/A	2.7.8.3 (Ceramide cholinephosphotransferase);3.1.3.4 (Phosphatidate phosphatase);3.1.3.81 (Diacylglycerol diphosphate phosphatase)	
Tb08.27P2.120	variant surface glycoprotein, degenerate	pseudogene	Tb08.27P2.120	0	N/A	N/A	
Tb08.27P2.140	variant surface glycoprotein (VSG, atypical), putative	protein coding gene	Tb08.27P2.140	0	N/A	N/A	
Tb08.27P2.150	variant surface glycoprotein, degenerate	pseudogene	Tb08.27P2.150	0	N/A	N/A	
Tb08.27P2.160	expression site-associated gene 3 (ESAG3), degenerate	pseudogene	Tb08.27P2.160	0	N/A	N/A	
Tb08.27P2.165	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb08.27P2.165	0	N/A	N/A	
Tb08.27P2.190	variant surface glycoprotein, degenerate	pseudogene	Tb08.27P2.190	0	N/A	N/A	
Tb08.27P2.210	variant surface glycoprotein, degenerate	pseudogene	Tb08.27P2.210	0	N/A	N/A	
Tb08.27P2.220	variant surface glycoprotein (VSG, atypical), putative	protein coding gene	Tb08.27P2.220	0	N/A	N/A	
Tb08.27P2.230	variant surface glycoprotein, degenerate	pseudogene	Tb08.27P2.230	0	N/A	N/A	
Tb08.27P2.240	variant surface glycoprotein (VSG), putative	protein coding gene	Tb08.27P2.240	0	N/A	N/A	
Tb08.27P2.250	expression site-associated gene 3 (ESAG3), frameshift	pseudogene	Tb08.27P2.250	0	N/A	N/A	
Tb08.27P2.260	variant surface glycoprotein (VSG, atypical), putative	protein coding gene	Tb08.27P2.260	0	N/A	N/A	
Tb08.27P2.270	variant surface glycoprotein, frameshift	pseudogene	Tb08.27P2.270	0	N/A	N/A	
Tb08.27P2.290	variant surface glycoprotein (VSG, atypical), putative	protein coding gene	Tb08.27P2.290	0	N/A	N/A	
Tb08.27P2.310	variant surface glycoprotein, degenerate	pseudogene	Tb08.27P2.310	0	N/A	N/A	
Tb08.27P2.330	expression site-associated gene 3 (ESAG3), degenerate	pseudogene	Tb08.27P2.330	0	N/A	N/A	
Tb08.27P2.340	variant surface glycoprotein, degenerate	pseudogene	Tb08.27P2.340	0	N/A	N/A	
Tb08.27P2.370	variant surface glycoprotein, degenerate	pseudogene	Tb08.27P2.370	0	N/A	N/A	
Tb08.27P2.380	variant surface glycoprotein, degenerate	pseudogene	Tb08.27P2.380	0	N/A	N/A	
Tb08.27P2.390	variant surface glycoprotein, frameshift	pseudogene	Tb08.27P2.390	0	N/A	N/A	
Tb08.27P2.400	expression site-associated gene 3 (ESAG3), degenerate	pseudogene	Tb08.27P2.400	0	N/A	N/A	
Tb08.27P2.410	variant surface glycoprotein, degenerate, interrupted	pseudogene	Tb08.27P2.410	0	N/A	N/A	
Tb08.27P2.435	variant surface glycoprotein, fragment	pseudogene	Tb08.27P2.435	0	N/A	N/A	
Tb08.27P2.460	variant surface glycoprotein (VSG), putative	protein coding gene	Tb08.27P2.460	0	N/A	N/A	
Tb08.27P2.480	variant surface glycoprotein, degenerate	pseudogene	Tb08.27P2.480	0	N/A	N/A	
Tb08.27P2.490	variant surface glycoprotein, degenerate	pseudogene	Tb08.27P2.490	0	N/A	N/A	
Tb08.27P2.50	hypothetical protein	protein coding gene	Tb08.27P2.50	0	N/A	N/A	
Tb08.27P2.510	variant surface glycoprotein, degenerate	pseudogene	Tb08.27P2.510	0	N/A	N/A	
Tb08.27P2.520	expression site-associated gene 3 (ESAG3), degenerate	pseudogene	Tb08.27P2.520	0	N/A	N/A	
Tb08.27P2.530	variant surface glycoprotein, point mutation	pseudogene	Tb08.27P2.530	0	N/A	N/A	
Tb08.27P2.550	variant surface glycoprotein, degenerate	pseudogene	Tb08.27P2.550	0	N/A	N/A	
Tb08.27P2.555	phosphoglycan beta 1,3 galactosyltransferase, degenerate	pseudogene	Tb08.27P2.555	0	N/A	N/A	
Tb08.27P2.565	variant surface glycoprotein, fragment	pseudogene	Tb08.27P2.565	0	N/A	N/A	
Tb08.27P2.580	variant surface glycoprotein, frameshift	pseudogene	Tb08.27P2.580	0	N/A	N/A	
Tb08.27P2.60	hypothetical protein	protein coding gene	Tb08.27P2.60	0	N/A	N/A	
Tb08.27P2.610	variant surface glycoprotein, degenerate	pseudogene	Tb08.27P2.610	0	N/A	N/A	
Tb08.27P2.620	variant surface glycoprotein, degenerate	pseudogene	Tb08.27P2.620	0	N/A	N/A	
Tb08.27P2.630	variant surface glycoprotein, degenerate	pseudogene	Tb08.27P2.630	0	N/A	N/A	
Tb08.27P2.640	variant surface glycoprotein, degenerate	pseudogene	Tb08.27P2.640	0	N/A	N/A	
Tb08.27P2.650	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb08.27P2.650	0	N/A	N/A	
Tb08.27P2.660	variant surface glycoprotein, degenerate	pseudogene	Tb08.27P2.660	0	N/A	N/A	
Tb08.27P2.670	variant surface glycoprotein (VSG, atypical), putative	protein coding gene	Tb08.27P2.670	1	N/A	N/A	
Tb08.27P2.680	variant surface glycoprotein, degenerate	pseudogene	Tb08.27P2.680	0	N/A	N/A	
Tb08.27P2.690	variant surface glycoprotein, degenerate	pseudogene	Tb08.27P2.690	0	N/A	N/A	
Tb08.27P2.70	hypothetical protein	protein coding gene	Tb08.27P2.70	0	N/A	N/A	
Tb08.27P2.710	variant surface glycoprotein, degenerate	pseudogene	Tb08.27P2.710	0	N/A	N/A	
Tb08.27P2.720	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb08.27P2.720	0	N/A	N/A	
Tb08.27P2.80	hypothetical protein	protein coding gene	Tb08.27P2.80	0	N/A	N/A	
Tb08.27P2.90	hypothetical protein	protein coding gene	Tb08.27P2.90	0	N/A	N/A	
Tb09.v4.0009	receptor-type adenylate cyclase, putative	protein coding gene	Tb09.v4.0009	2	4.6.1.1 (Adenylate cyclase)	4.6.1.1 (Adenylate cyclase)	
Tb09.v4.0010	variant surface glycoprotein (VSG), pseudogene	pseudogene	Tb09.v4.0010	0	N/A	N/A	
Tb09.v4.0011	variant surface glycoprotein (VSG), putative	protein coding gene	Tb09.v4.0011	0	N/A	N/A	
Tb09.v4.0012	variant surface glycoprotein (VSG), putative	protein coding gene	Tb09.v4.0012	0	N/A	N/A	
Tb09.v4.0013	retrotransposon hot spot (RHS) protein, putative	protein coding gene	Tb09.v4.0013	0	N/A	N/A	
Tb09.v4.0014	hypothetical protein	protein coding gene	Tb09.v4.0014	0	N/A	N/A	
Tb09.v4.0015	hypothetical protein	protein coding gene	Tb09.v4.0015	0	N/A	N/A	
Tb09.v4.0016	expression site- associated gene (ESAG) protein, putative	protein coding gene	Tb09.v4.0016	1	N/A	N/A	
Tb09.v4.0017	rab1 (small gtp-binding protein rab1, putative)	protein coding gene	Tb09.v4.0017	0	N/A	N/A	
Tb09.v4.0018	expression site-associated gene 3 (ESAG3) protein, putative	protein coding gene	Tb09.v4.0018	1	N/A	N/A	
Tb09.v4.0020	hypothetical protein	protein coding gene	Tb09.v4.0020	0	N/A	N/A	
Tb09.v4.0021	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0021	0	N/A	N/A	
Tb09.v4.0022	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0022	0	N/A	N/A	
Tb09.v4.0023	variant surface glycoprotein (VSG), putative	protein coding gene	Tb09.v4.0023	0	N/A	N/A	
Tb09.v4.0024	variant surface glycoprotein, degenerate	pseudogene	Tb09.v4.0024	0	N/A	N/A	
Tb09.v4.0025	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0025	0	N/A	N/A	
Tb09.v4.0026	variant surface glycoprotein (VSG), putative	protein coding gene	Tb09.v4.0026	0	N/A	N/A	
Tb09.v4.0027	expression site-associated gene 3 (ESAG3), degenerate	pseudogene	Tb09.v4.0027	0	N/A	N/A	
Tb09.v4.0028	variant surface glycoprotein, fragment	pseudogene	Tb09.v4.0028	0	N/A	N/A	
Tb09.v4.0029	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0029	0	N/A	N/A	
Tb09.v4.0030	variant surface glycoprotein (VSG), putative	protein coding gene	Tb09.v4.0030	0	N/A	N/A	
Tb09.v4.0031	variant surface glycoprotein (VSG), putative	protein coding gene	Tb09.v4.0031	0	N/A	N/A	
Tb09.v4.0032	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0032	0	N/A	N/A	
Tb09.v4.0033	expression site-associated gene 3 (ESAG3), fragment	pseudogene	Tb09.v4.0033	0	N/A	N/A	
Tb09.v4.0034	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0034	0	N/A	N/A	
Tb09.v4.0035	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0035	0	N/A	N/A	
Tb09.v4.0036	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0036	0	N/A	N/A	
Tb09.v4.0037	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0037	0	N/A	N/A	
Tb09.v4.0038	UDP-Gal or UDP-GlcNAc-dependent glycosyltransferase (pseudogene), putative	pseudogene	Tb09.v4.0038	0	N/A	N/A	
Tb09.v4.0039	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0039	0	N/A	N/A	
Tb09.v4.0040	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0040	0	N/A	N/A	
Tb09.v4.0041	leucine-rich repeat protein (LRRP), fragment	pseudogene	Tb09.v4.0041	0	N/A	N/A	
Tb09.v4.0042	leucine-rich repeat protein (LRRP, pseudogene), putative	pseudogene	Tb09.v4.0042	0	N/A	N/A	
Tb09.v4.0043	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0043	0	N/A	N/A	
Tb09.v4.0044	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0044	0	N/A	N/A	
Tb09.v4.0045	expression site-associated gene 3 (ESAG3, pseudogene), putative	pseudogene	Tb09.v4.0045	0	N/A	N/A	
Tb09.v4.0046	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0046	0	N/A	N/A	
Tb09.v4.0047	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0047	0	N/A	N/A	
Tb09.v4.0048	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0048	0	N/A	N/A	
Tb09.v4.0049	variant surface glycoprotein, degenerate	pseudogene	Tb09.v4.0049	0	N/A	N/A	
Tb09.v4.0050	variant surface glycoprotein (VSG), putative	protein coding gene	Tb09.v4.0050	0	N/A	N/A	
Tb09.v4.0051	variant surface glycoprotein (VSG), putative	protein coding gene	Tb09.v4.0051	0	N/A	N/A	
Tb09.v4.0052	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0052	0	N/A	N/A	
Tb09.v4.0053	Trypanosomal VSG domain containing protein, putative	protein coding gene	Tb09.v4.0053	0	N/A	N/A	
Tb09.v4.0054	variant surface glycoprotein, fragment	pseudogene	Tb09.v4.0054	0	N/A	N/A	
Tb09.v4.0055	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0055	0	N/A	N/A	
Tb09.v4.0056	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0056	0	N/A	N/A	
Tb09.v4.0057	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0057	0	N/A	N/A	
Tb09.v4.0058	hypothetical protein	protein coding gene	Tb09.v4.0058	1	N/A	N/A	
Tb09.v4.0059	hypothetical protein	protein coding gene	Tb09.v4.0059	1	N/A	N/A	
Tb09.v4.0060	hypothetical protein	protein coding gene	Tb09.v4.0060	1	N/A	N/A	
Tb09.v4.0061	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0061	0	N/A	N/A	
Tb09.v4.0062	expression site-associated gene 3 (ESAG3, pseudogene), putative	pseudogene	Tb09.v4.0062	0	N/A	N/A	
Tb09.v4.0063	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0063	0	N/A	N/A	
Tb09.v4.0064	hypothetical protein	protein coding gene	Tb09.v4.0064	0	N/A	N/A	
Tb09.v4.0065	expression site-associated gene 1 (ESAG 1), putative	protein coding gene	Tb09.v4.0065	0	N/A	N/A	
Tb09.v4.0066	hypothetical protein	protein coding gene	Tb09.v4.0066	0	N/A	N/A	
Tb09.v4.0067	retrotransposon hot spot protein, pseudogene	pseudogene	Tb09.v4.0067	0	N/A	N/A	
Tb09.v4.0068	variant surface glycoprotein, fragment	pseudogene	Tb09.v4.0068	0	N/A	N/A	
Tb09.v4.0069	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0069	0	N/A	N/A	
Tb09.v4.0070	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0070	0	N/A	N/A	
Tb09.v4.0071	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0071	0	N/A	N/A	
Tb09.v4.0072	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0072	0	N/A	N/A	
Tb09.v4.0073	variant surface glycoprotein (VSG), putative	protein coding gene	Tb09.v4.0073	0	N/A	N/A	
Tb09.v4.0074	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0074	0	N/A	N/A	
Tb09.v4.0075	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0075	0	N/A	N/A	
Tb09.v4.0076	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0076	0	N/A	N/A	
Tb09.v4.0077	variant surface glycoprotein (VSG), putative	protein coding gene	Tb09.v4.0077	0	N/A	N/A	
Tb09.v4.0078	variant surface glycoprotein (VSHG, pseudogene), putative	pseudogene	Tb09.v4.0078	0	N/A	N/A	
Tb09.v4.0079	variant surface glycoprotein, fragment	pseudogene	Tb09.v4.0079	0	N/A	N/A	
Tb09.v4.0080	hypothetical protein, conserved	protein coding gene	Tb09.v4.0080	0	2.4.1.- (Hexosyltransferases.)	N/A	
Tb09.v4.0081	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0081	0	N/A	N/A	
Tb09.v4.0082	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0082	0	N/A	N/A	
Tb09.v4.0083	expression site-associated gene 3 (ESAG3), pseudogene	pseudogene	Tb09.v4.0083	0	N/A	N/A	
Tb09.v4.0084	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0084	0	N/A	N/A	
Tb09.v4.0085	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0085	0	N/A	N/A	
Tb09.v4.0086	hypothetical protein, conserved	protein coding gene	Tb09.v4.0086	1	N/A	N/A	
Tb09.v4.0087	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0087	0	N/A	N/A	
Tb09.v4.0088	variant surface glycoprotein (VSG)	protein coding gene	Tb09.v4.0088	0	N/A	N/A	
Tb09.v4.0089	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0089	0	N/A	N/A	
Tb09.v4.0090	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0090	0	N/A	N/A	
Tb09.v4.0091	variant surface glycoprotein, fragment	pseudogene	Tb09.v4.0091	0	N/A	N/A	
Tb09.v4.0092	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0092	0	N/A	N/A	
Tb09.v4.0093	variant surface glycoprotein, fragment	pseudogene	Tb09.v4.0093	0	N/A	N/A	
Tb09.v4.0094	variant surface glycoprotein, fragment	pseudogene	Tb09.v4.0094	0	N/A	N/A	
Tb09.v4.0095	variant surface glycoprotein, fragment	pseudogene	Tb09.v4.0095	0	N/A	N/A	
Tb09.v4.0096	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0096	0	N/A	N/A	
Tb09.v4.0097	hypothetical protein, pseudogene	pseudogene	Tb09.v4.0097	0	N/A	N/A	
Tb09.v4.0098	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0098	0	N/A	N/A	
Tb09.v4.0099	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0099	0	N/A	N/A	
Tb09.v4.0100	expression site-associated gene 3 (ESAG3), fragment	pseudogene	Tb09.v4.0100	0	N/A	N/A	
Tb09.v4.0101	hypothetical protein, pseudogene	pseudogene	Tb09.v4.0101	0	N/A	N/A	
Tb09.v4.0102	variant surface glycoprotein (VSG, atypical), putative	protein coding gene	Tb09.v4.0102	0	N/A	N/A	
Tb09.v4.0103	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0103	0	N/A	N/A	
Tb09.v4.0104	leucine-rich repeat protein 1 (LRRP1), fragment	pseudogene	Tb09.v4.0104	0	N/A	N/A	
Tb09.v4.0105	hypothetical protein	protein coding gene	Tb09.v4.0105	0	N/A	N/A	
Tb09.v4.0106	nucleoside transporter 1, putative	protein coding gene	Tb09.v4.0106	11	N/A	2.3.1.48 (Histone acetyltransferase)	
Tb09.v4.0107	expression site-associated gene 5 (ESAG5) protein, putative	protein coding gene	Tb09.v4.0107	1	N/A	N/A	
Tb09.v4.0108	expression site-associated gene 8 (ESAG8), pseudogene	pseudogene	Tb09.v4.0108	0	N/A	N/A	
Tb09.v4.0109	hypothetical protein	protein coding gene	Tb09.v4.0109	0	N/A	N/A	
Tb09.v4.0110	hypothetical protein	protein coding gene	Tb09.v4.0110	0	N/A	N/A	
Tb09.v4.0111	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0111	0	N/A	N/A	
Tb09.v4.0112	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0112	0	N/A	N/A	
Tb09.v4.0113	variant surface glycoprotein (VSG, atypical), putative	protein coding gene	Tb09.v4.0113	0	N/A	N/A	
Tb09.v4.0114	variant surface glycoprotein (VSG, atypical), putative	protein coding gene	Tb09.v4.0114	0	N/A	N/A	
Tb09.v4.0115	expression site-associated gene 3 (ESAG3), pseudogene	pseudogene	Tb09.v4.0115	0	N/A	N/A	
Tb09.v4.0116	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0116	0	N/A	N/A	
Tb09.v4.0117	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0117	0	N/A	N/A	
Tb09.v4.0118	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0118	0	N/A	N/A	
Tb09.v4.0119	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0119	0	N/A	N/A	
Tb09.v4.0120	variant surface glycoprotein (VSG, pseudogene), putative	pseudogene	Tb09.v4.0120	0	N/A	N/A	
